HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank [Gloo] Rank 51 is connected to  is connected to 77 peer ranks. [Gloo] Rank 2 peer ranks. Expected number of connected peer ranks is :  is connected to Expected number of connected peer ranks is : 7
77
 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to [Gloo] Rank 4 is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 7[Gloo] Rank 76

 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/948bfb30-2c0b-4a20-a15a-11cd5729986d.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83049202 train_time:72ms step_avg:72.05ms
step:1/1285 train_time:320ms step_avg:319.61ms
step:2/1285 train_time:386ms step_avg:192.89ms
step:3/1285 train_time:441ms step_avg:146.89ms
step:4/1285 train_time:497ms step_avg:124.33ms
step:5/1285 train_time:554ms step_avg:110.87ms
step:6/1285 train_time:618ms step_avg:103.00ms
step:7/1285 train_time:680ms step_avg:97.08ms
step:8/1285 train_time:742ms step_avg:92.75ms
step:9/1285 train_time:791ms step_avg:87.93ms
step:10/1285 train_time:852ms step_avg:85.19ms
step:11/1285 train_time:904ms step_avg:82.18ms
step:12/1285 train_time:965ms step_avg:80.40ms
step:13/1285 train_time:1017ms step_avg:78.24ms
step:14/1285 train_time:1075ms step_avg:76.82ms
step:15/1285 train_time:1126ms step_avg:75.04ms
step:16/1285 train_time:1183ms step_avg:73.93ms
step:17/1285 train_time:1236ms step_avg:72.69ms
step:18/1285 train_time:1293ms step_avg:71.82ms
step:19/1285 train_time:1343ms step_avg:70.71ms
step:20/1285 train_time:1402ms step_avg:70.12ms
step:21/1285 train_time:1452ms step_avg:69.14ms
step:22/1285 train_time:1510ms step_avg:68.62ms
step:23/1285 train_time:1562ms step_avg:67.90ms
step:24/1285 train_time:1620ms step_avg:67.48ms
step:25/1285 train_time:1671ms step_avg:66.85ms
step:26/1285 train_time:1729ms step_avg:66.51ms
step:27/1285 train_time:1779ms step_avg:65.88ms
step:28/1285 train_time:1836ms step_avg:65.58ms
step:29/1285 train_time:1885ms step_avg:65.01ms
step:30/1285 train_time:1939ms step_avg:64.63ms
step:31/1285 train_time:1989ms step_avg:64.15ms
step:32/1285 train_time:2046ms step_avg:63.95ms
step:33/1285 train_time:2095ms step_avg:63.50ms
step:34/1285 train_time:2154ms step_avg:63.34ms
step:35/1285 train_time:2203ms step_avg:62.94ms
step:36/1285 train_time:2260ms step_avg:62.79ms
step:37/1285 train_time:2313ms step_avg:62.51ms
step:38/1285 train_time:2369ms step_avg:62.35ms
step:39/1285 train_time:2423ms step_avg:62.12ms
step:40/1285 train_time:2482ms step_avg:62.04ms
step:41/1285 train_time:2532ms step_avg:61.75ms
step:42/1285 train_time:2593ms step_avg:61.73ms
step:43/1285 train_time:2642ms step_avg:61.43ms
step:44/1285 train_time:2699ms step_avg:61.33ms
step:45/1285 train_time:2749ms step_avg:61.09ms
step:46/1285 train_time:2807ms step_avg:61.02ms
step:47/1285 train_time:2857ms step_avg:60.79ms
step:48/1285 train_time:2914ms step_avg:60.70ms
step:49/1285 train_time:2965ms step_avg:60.51ms
step:50/1285 train_time:3020ms step_avg:60.40ms
step:51/1285 train_time:3070ms step_avg:60.20ms
step:52/1285 train_time:3127ms step_avg:60.14ms
step:53/1285 train_time:3175ms step_avg:59.91ms
step:54/1285 train_time:3234ms step_avg:59.89ms
step:55/1285 train_time:3283ms step_avg:59.69ms
step:56/1285 train_time:3340ms step_avg:59.65ms
step:57/1285 train_time:3391ms step_avg:59.48ms
step:58/1285 train_time:3445ms step_avg:59.40ms
step:59/1285 train_time:3493ms step_avg:59.20ms
step:60/1285 train_time:3552ms step_avg:59.21ms
step:61/1285 train_time:3604ms step_avg:59.09ms
step:62/1285 train_time:3658ms step_avg:59.00ms
step:63/1285 train_time:3706ms step_avg:58.83ms
step:64/1285 train_time:3764ms step_avg:58.81ms
step:65/1285 train_time:3814ms step_avg:58.68ms
step:66/1285 train_time:3873ms step_avg:58.67ms
step:67/1285 train_time:3924ms step_avg:58.56ms
step:68/1285 train_time:3980ms step_avg:58.53ms
step:69/1285 train_time:4029ms step_avg:58.39ms
step:70/1285 train_time:4085ms step_avg:58.36ms
step:71/1285 train_time:4136ms step_avg:58.25ms
step:72/1285 train_time:4193ms step_avg:58.24ms
step:73/1285 train_time:4245ms step_avg:58.15ms
step:74/1285 train_time:4304ms step_avg:58.16ms
step:75/1285 train_time:4355ms step_avg:58.06ms
step:76/1285 train_time:4413ms step_avg:58.06ms
step:77/1285 train_time:4464ms step_avg:57.97ms
step:78/1285 train_time:4521ms step_avg:57.97ms
step:79/1285 train_time:4571ms step_avg:57.85ms
step:80/1285 train_time:4628ms step_avg:57.85ms
step:81/1285 train_time:4679ms step_avg:57.77ms
step:82/1285 train_time:4732ms step_avg:57.71ms
step:83/1285 train_time:4780ms step_avg:57.59ms
step:84/1285 train_time:4837ms step_avg:57.58ms
step:85/1285 train_time:4887ms step_avg:57.50ms
step:86/1285 train_time:4944ms step_avg:57.49ms
step:87/1285 train_time:4993ms step_avg:57.39ms
step:88/1285 train_time:5051ms step_avg:57.39ms
step:89/1285 train_time:5100ms step_avg:57.30ms
step:90/1285 train_time:5157ms step_avg:57.30ms
step:91/1285 train_time:5205ms step_avg:57.19ms
step:92/1285 train_time:5259ms step_avg:57.16ms
step:93/1285 train_time:5305ms step_avg:57.05ms
step:94/1285 train_time:5363ms step_avg:57.05ms
step:95/1285 train_time:5410ms step_avg:56.94ms
step:96/1285 train_time:5467ms step_avg:56.94ms
step:97/1285 train_time:5515ms step_avg:56.86ms
step:98/1285 train_time:5571ms step_avg:56.84ms
step:99/1285 train_time:5618ms step_avg:56.75ms
step:100/1285 train_time:5675ms step_avg:56.75ms
step:101/1285 train_time:5725ms step_avg:56.68ms
step:102/1285 train_time:5783ms step_avg:56.70ms
step:103/1285 train_time:5830ms step_avg:56.60ms
step:104/1285 train_time:5886ms step_avg:56.59ms
step:105/1285 train_time:5935ms step_avg:56.52ms
step:106/1285 train_time:5991ms step_avg:56.52ms
step:107/1285 train_time:6040ms step_avg:56.45ms
step:108/1285 train_time:6098ms step_avg:56.47ms
step:109/1285 train_time:6148ms step_avg:56.40ms
step:110/1285 train_time:6206ms step_avg:56.42ms
step:111/1285 train_time:6254ms step_avg:56.35ms
step:112/1285 train_time:6312ms step_avg:56.36ms
step:113/1285 train_time:6361ms step_avg:56.30ms
step:114/1285 train_time:6417ms step_avg:56.29ms
step:115/1285 train_time:6465ms step_avg:56.22ms
step:116/1285 train_time:6521ms step_avg:56.21ms
step:117/1285 train_time:6572ms step_avg:56.17ms
step:118/1285 train_time:6627ms step_avg:56.16ms
step:119/1285 train_time:6673ms step_avg:56.08ms
step:120/1285 train_time:6729ms step_avg:56.07ms
step:121/1285 train_time:6778ms step_avg:56.01ms
step:122/1285 train_time:6833ms step_avg:56.01ms
step:123/1285 train_time:6885ms step_avg:55.97ms
step:124/1285 train_time:6941ms step_avg:55.97ms
step:125/1285 train_time:6990ms step_avg:55.92ms
step:126/1285 train_time:7051ms step_avg:55.96ms
step:127/1285 train_time:7099ms step_avg:55.90ms
step:128/1285 train_time:7157ms step_avg:55.92ms
step:129/1285 train_time:7206ms step_avg:55.86ms
step:130/1285 train_time:7263ms step_avg:55.87ms
step:131/1285 train_time:7313ms step_avg:55.82ms
step:132/1285 train_time:7368ms step_avg:55.82ms
step:133/1285 train_time:7417ms step_avg:55.77ms
step:134/1285 train_time:7473ms step_avg:55.77ms
step:135/1285 train_time:7523ms step_avg:55.72ms
step:136/1285 train_time:7581ms step_avg:55.74ms
step:137/1285 train_time:7631ms step_avg:55.70ms
step:138/1285 train_time:7689ms step_avg:55.72ms
step:139/1285 train_time:7738ms step_avg:55.67ms
step:140/1285 train_time:7794ms step_avg:55.67ms
step:141/1285 train_time:7844ms step_avg:55.63ms
step:142/1285 train_time:7903ms step_avg:55.65ms
step:143/1285 train_time:7951ms step_avg:55.60ms
step:144/1285 train_time:8005ms step_avg:55.59ms
step:145/1285 train_time:8057ms step_avg:55.56ms
step:146/1285 train_time:8113ms step_avg:55.57ms
step:147/1285 train_time:8164ms step_avg:55.54ms
step:148/1285 train_time:8220ms step_avg:55.54ms
step:149/1285 train_time:8271ms step_avg:55.51ms
step:150/1285 train_time:8327ms step_avg:55.51ms
step:151/1285 train_time:8374ms step_avg:55.46ms
step:152/1285 train_time:8428ms step_avg:55.45ms
step:153/1285 train_time:8480ms step_avg:55.43ms
step:154/1285 train_time:8534ms step_avg:55.41ms
step:155/1285 train_time:8584ms step_avg:55.38ms
step:156/1285 train_time:8637ms step_avg:55.37ms
step:157/1285 train_time:8686ms step_avg:55.33ms
step:158/1285 train_time:8740ms step_avg:55.32ms
step:159/1285 train_time:8789ms step_avg:55.28ms
step:160/1285 train_time:8847ms step_avg:55.29ms
step:161/1285 train_time:8895ms step_avg:55.25ms
step:162/1285 train_time:8951ms step_avg:55.25ms
step:163/1285 train_time:9001ms step_avg:55.22ms
step:164/1285 train_time:9058ms step_avg:55.23ms
step:165/1285 train_time:9109ms step_avg:55.20ms
step:166/1285 train_time:9167ms step_avg:55.22ms
step:167/1285 train_time:9216ms step_avg:55.18ms
step:168/1285 train_time:9273ms step_avg:55.20ms
step:169/1285 train_time:9325ms step_avg:55.18ms
step:170/1285 train_time:9384ms step_avg:55.20ms
step:171/1285 train_time:9431ms step_avg:55.15ms
step:172/1285 train_time:9488ms step_avg:55.16ms
step:173/1285 train_time:9537ms step_avg:55.13ms
step:174/1285 train_time:9592ms step_avg:55.13ms
step:175/1285 train_time:9638ms step_avg:55.07ms
step:176/1285 train_time:9693ms step_avg:55.07ms
step:177/1285 train_time:9741ms step_avg:55.03ms
step:178/1285 train_time:9794ms step_avg:55.02ms
step:179/1285 train_time:9843ms step_avg:54.99ms
step:180/1285 train_time:9899ms step_avg:54.99ms
step:181/1285 train_time:9948ms step_avg:54.96ms
step:182/1285 train_time:10002ms step_avg:54.96ms
step:183/1285 train_time:10051ms step_avg:54.93ms
step:184/1285 train_time:10110ms step_avg:54.94ms
step:185/1285 train_time:10160ms step_avg:54.92ms
