HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to [Gloo] Rank 7 peer ranks. Expected number of connected peer ranks is : 57 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7[Gloo] Rank  peer ranks. 7Expected number of connected peer ranks is :  is connected to 77
 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/2d028a59-ed5b-450a-9cd5-8f0114793622.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83086109 train_time:71ms step_avg:71.20ms
step:1/1190 train_time:205ms step_avg:204.57ms
step:2/1190 train_time:258ms step_avg:128.79ms
step:3/1190 train_time:304ms step_avg:101.42ms
step:4/1190 train_time:350ms step_avg:87.47ms
step:5/1190 train_time:390ms step_avg:77.99ms
step:6/1190 train_time:436ms step_avg:72.70ms
step:7/1190 train_time:475ms step_avg:67.86ms
step:8/1190 train_time:523ms step_avg:65.34ms
step:9/1190 train_time:564ms step_avg:62.68ms
step:10/1190 train_time:610ms step_avg:60.98ms
step:11/1190 train_time:652ms step_avg:59.26ms
step:12/1190 train_time:699ms step_avg:58.22ms
step:13/1190 train_time:736ms step_avg:56.65ms
step:14/1190 train_time:784ms step_avg:56.02ms
step:15/1190 train_time:821ms step_avg:54.73ms
step:16/1190 train_time:866ms step_avg:54.13ms
step:17/1190 train_time:906ms step_avg:53.31ms
step:18/1190 train_time:955ms step_avg:53.03ms
step:19/1190 train_time:993ms step_avg:52.26ms
step:20/1190 train_time:1039ms step_avg:51.97ms
step:21/1190 train_time:1077ms step_avg:51.29ms
step:22/1190 train_time:1118ms step_avg:50.84ms
step:23/1190 train_time:1156ms step_avg:50.25ms
step:24/1190 train_time:1204ms step_avg:50.18ms
step:25/1190 train_time:1243ms step_avg:49.73ms
step:26/1190 train_time:1286ms step_avg:49.47ms
step:27/1190 train_time:1324ms step_avg:49.03ms
step:28/1190 train_time:1368ms step_avg:48.85ms
step:29/1190 train_time:1408ms step_avg:48.56ms
step:30/1190 train_time:1452ms step_avg:48.40ms
step:31/1190 train_time:1494ms step_avg:48.18ms
step:32/1190 train_time:1536ms step_avg:48.00ms
step:33/1190 train_time:1572ms step_avg:47.64ms
step:34/1190 train_time:1618ms step_avg:47.58ms
step:35/1190 train_time:1655ms step_avg:47.30ms
step:36/1190 train_time:1702ms step_avg:47.29ms
step:37/1190 train_time:1740ms step_avg:47.02ms
step:38/1190 train_time:1783ms step_avg:46.93ms
step:39/1190 train_time:1821ms step_avg:46.69ms
step:40/1190 train_time:1865ms step_avg:46.63ms
step:41/1190 train_time:1905ms step_avg:46.47ms
step:42/1190 train_time:1951ms step_avg:46.44ms
step:43/1190 train_time:1992ms step_avg:46.32ms
step:44/1190 train_time:2035ms step_avg:46.25ms
step:45/1190 train_time:2073ms step_avg:46.07ms
step:46/1190 train_time:2119ms step_avg:46.06ms
step:47/1190 train_time:2153ms step_avg:45.82ms
step:48/1190 train_time:2199ms step_avg:45.82ms
step:49/1190 train_time:2235ms step_avg:45.62ms
step:50/1190 train_time:2282ms step_avg:45.63ms
step:51/1190 train_time:2320ms step_avg:45.50ms
step:52/1190 train_time:2364ms step_avg:45.47ms
step:53/1190 train_time:2401ms step_avg:45.30ms
step:54/1190 train_time:2446ms step_avg:45.29ms
step:55/1190 train_time:2484ms step_avg:45.16ms
step:56/1190 train_time:2530ms step_avg:45.19ms
step:57/1190 train_time:2568ms step_avg:45.06ms
