HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 3 is connected to 5 is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 76
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/e12ed2e4-b9d9-40ad-b771-5cab28322c79.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83046150 train_time:68ms step_avg:68.12ms
step:1/1190 train_time:225ms step_avg:224.70ms
step:2/1190 train_time:282ms step_avg:141.03ms
step:3/1190 train_time:323ms step_avg:107.77ms
step:4/1190 train_time:374ms step_avg:93.39ms
step:5/1190 train_time:417ms step_avg:83.45ms
step:6/1190 train_time:464ms step_avg:77.29ms
step:7/1190 train_time:504ms step_avg:72.07ms
step:8/1190 train_time:552ms step_avg:69.04ms
step:9/1190 train_time:597ms step_avg:66.35ms
step:10/1190 train_time:646ms step_avg:64.57ms
step:11/1190 train_time:686ms step_avg:62.41ms
step:12/1190 train_time:730ms step_avg:60.80ms
step:13/1190 train_time:769ms step_avg:59.17ms
step:14/1190 train_time:822ms step_avg:58.68ms
step:15/1190 train_time:860ms step_avg:57.30ms
step:16/1190 train_time:907ms step_avg:56.67ms
step:17/1190 train_time:941ms step_avg:55.38ms
step:18/1190 train_time:987ms step_avg:54.83ms
step:19/1190 train_time:1028ms step_avg:54.12ms
step:20/1190 train_time:1074ms step_avg:53.68ms
step:21/1190 train_time:1110ms step_avg:52.84ms
step:22/1190 train_time:1154ms step_avg:52.47ms
step:23/1190 train_time:1194ms step_avg:51.90ms
step:24/1190 train_time:1240ms step_avg:51.68ms
step:25/1190 train_time:1279ms step_avg:51.15ms
step:26/1190 train_time:1327ms step_avg:51.03ms
step:27/1190 train_time:1365ms step_avg:50.56ms
step:28/1190 train_time:1411ms step_avg:50.38ms
step:29/1190 train_time:1450ms step_avg:49.99ms
step:30/1190 train_time:1497ms step_avg:49.89ms
step:31/1190 train_time:1539ms step_avg:49.64ms
step:32/1190 train_time:1584ms step_avg:49.51ms
step:33/1190 train_time:1625ms step_avg:49.25ms
step:34/1190 train_time:1668ms step_avg:49.05ms
step:35/1190 train_time:1707ms step_avg:48.76ms
step:36/1190 train_time:1751ms step_avg:48.64ms
step:37/1190 train_time:1790ms step_avg:48.37ms
step:38/1190 train_time:1838ms step_avg:48.36ms
step:39/1190 train_time:1876ms step_avg:48.11ms
step:40/1190 train_time:1923ms step_avg:48.08ms
step:41/1190 train_time:1963ms step_avg:47.88ms
step:42/1190 train_time:2008ms step_avg:47.81ms
step:43/1190 train_time:2049ms step_avg:47.66ms
step:44/1190 train_time:2097ms step_avg:47.67ms
step:45/1190 train_time:2135ms step_avg:47.45ms
step:46/1190 train_time:2179ms step_avg:47.37ms
step:47/1190 train_time:2217ms step_avg:47.17ms
step:48/1190 train_time:2262ms step_avg:47.12ms
step:49/1190 train_time:2300ms step_avg:46.94ms
step:50/1190 train_time:2347ms step_avg:46.94ms
step:51/1190 train_time:2384ms step_avg:46.74ms
step:52/1190 train_time:2433ms step_avg:46.79ms
step:53/1190 train_time:2470ms step_avg:46.61ms
step:54/1190 train_time:2518ms step_avg:46.63ms
step:55/1190 train_time:2557ms step_avg:46.49ms
step:56/1190 train_time:2603ms step_avg:46.49ms
step:57/1190 train_time:2641ms step_avg:46.34ms
