HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 3 is connected to 7[Gloo] Rank 0 peer ranks.  is connected to Expected number of connected peer ranks is : 77 peer ranks. 
Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7[Gloo] Rank  peer ranks. 1Expected number of connected peer ranks is :  is connected to 77
 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 6
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/d969f20e-bf83-47db-994e-6900fa004170.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82907104 train_time:69ms step_avg:69.28ms
step:1/1190 train_time:279ms step_avg:278.65ms
step:2/1190 train_time:328ms step_avg:163.91ms
step:3/1190 train_time:368ms step_avg:122.59ms
step:4/1190 train_time:415ms step_avg:103.83ms
step:5/1190 train_time:456ms step_avg:91.15ms
step:6/1190 train_time:506ms step_avg:84.40ms
step:7/1190 train_time:547ms step_avg:78.10ms
step:8/1190 train_time:594ms step_avg:74.25ms
step:9/1190 train_time:636ms step_avg:70.64ms
step:10/1190 train_time:684ms step_avg:68.42ms
step:11/1190 train_time:721ms step_avg:65.57ms
step:12/1190 train_time:768ms step_avg:64.00ms
step:13/1190 train_time:811ms step_avg:62.42ms
step:14/1190 train_time:860ms step_avg:61.42ms
step:15/1190 train_time:899ms step_avg:59.96ms
step:16/1190 train_time:945ms step_avg:59.03ms
step:17/1190 train_time:983ms step_avg:57.84ms
step:18/1190 train_time:1027ms step_avg:57.03ms
step:19/1190 train_time:1066ms step_avg:56.10ms
step:20/1190 train_time:1112ms step_avg:55.60ms
step:21/1190 train_time:1149ms step_avg:54.71ms
step:22/1190 train_time:1195ms step_avg:54.31ms
step:23/1190 train_time:1234ms step_avg:53.65ms
step:24/1190 train_time:1279ms step_avg:53.31ms
step:25/1190 train_time:1318ms step_avg:52.72ms
step:26/1190 train_time:1363ms step_avg:52.44ms
step:27/1190 train_time:1403ms step_avg:51.96ms
step:28/1190 train_time:1449ms step_avg:51.73ms
step:29/1190 train_time:1485ms step_avg:51.19ms
step:30/1190 train_time:1529ms step_avg:50.96ms
step:31/1190 train_time:1568ms step_avg:50.59ms
step:32/1190 train_time:1614ms step_avg:50.43ms
step:33/1190 train_time:1655ms step_avg:50.15ms
step:34/1190 train_time:1700ms step_avg:50.01ms
step:35/1190 train_time:1738ms step_avg:49.66ms
step:36/1190 train_time:1782ms step_avg:49.49ms
step:37/1190 train_time:1821ms step_avg:49.23ms
step:38/1190 train_time:1867ms step_avg:49.13ms
step:39/1190 train_time:1905ms step_avg:48.84ms
step:40/1190 train_time:1949ms step_avg:48.73ms
step:41/1190 train_time:1989ms step_avg:48.50ms
step:42/1190 train_time:2035ms step_avg:48.44ms
step:43/1190 train_time:2074ms step_avg:48.23ms
step:44/1190 train_time:2119ms step_avg:48.15ms
step:45/1190 train_time:2161ms step_avg:48.01ms
step:46/1190 train_time:2209ms step_avg:48.03ms
step:47/1190 train_time:2247ms step_avg:47.80ms
step:48/1190 train_time:2292ms step_avg:47.76ms
step:49/1190 train_time:2335ms step_avg:47.65ms
step:50/1190 train_time:2380ms step_avg:47.60ms
step:51/1190 train_time:2419ms step_avg:47.42ms
step:52/1190 train_time:2460ms step_avg:47.31ms
step:53/1190 train_time:2494ms step_avg:47.05ms
step:54/1190 train_time:2535ms step_avg:46.95ms
step:55/1190 train_time:2577ms step_avg:46.85ms
step:56/1190 train_time:2625ms step_avg:46.87ms
step:57/1190 train_time:2665ms step_avg:46.75ms
