HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank [Gloo] Rank 02 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 77
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/a902cdd2-da51-47fe-ab8b-228d73a5e182.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83187580 train_time:73ms step_avg:72.68ms
step:1/1190 train_time:236ms step_avg:236.43ms
step:2/1190 train_time:286ms step_avg:142.93ms
step:3/1190 train_time:324ms step_avg:107.99ms
step:4/1190 train_time:372ms step_avg:93.02ms
step:5/1190 train_time:411ms step_avg:82.24ms
step:6/1190 train_time:462ms step_avg:76.96ms
step:7/1190 train_time:502ms step_avg:71.65ms
step:8/1190 train_time:550ms step_avg:68.77ms
step:9/1190 train_time:595ms step_avg:66.09ms
step:10/1190 train_time:640ms step_avg:64.03ms
step:11/1190 train_time:684ms step_avg:62.15ms
step:12/1190 train_time:730ms step_avg:60.87ms
step:13/1190 train_time:772ms step_avg:59.38ms
step:14/1190 train_time:818ms step_avg:58.39ms
step:15/1190 train_time:856ms step_avg:57.04ms
step:16/1190 train_time:903ms step_avg:56.42ms
step:17/1190 train_time:940ms step_avg:55.30ms
step:18/1190 train_time:984ms step_avg:54.68ms
step:19/1190 train_time:1024ms step_avg:53.89ms
step:20/1190 train_time:1071ms step_avg:53.54ms
step:21/1190 train_time:1108ms step_avg:52.75ms
step:22/1190 train_time:1156ms step_avg:52.55ms
step:23/1190 train_time:1198ms step_avg:52.09ms
step:24/1190 train_time:1241ms step_avg:51.71ms
step:25/1190 train_time:1281ms step_avg:51.23ms
step:26/1190 train_time:1326ms step_avg:51.02ms
step:27/1190 train_time:1365ms step_avg:50.56ms
step:28/1190 train_time:1411ms step_avg:50.38ms
step:29/1190 train_time:1450ms step_avg:50.00ms
step:30/1190 train_time:1498ms step_avg:49.93ms
step:31/1190 train_time:1534ms step_avg:49.48ms
step:32/1190 train_time:1580ms step_avg:49.38ms
step:33/1190 train_time:1619ms step_avg:49.06ms
step:34/1190 train_time:1665ms step_avg:48.97ms
step:35/1190 train_time:1705ms step_avg:48.72ms
step:36/1190 train_time:1752ms step_avg:48.66ms
step:37/1190 train_time:1791ms step_avg:48.42ms
step:38/1190 train_time:1838ms step_avg:48.36ms
step:39/1190 train_time:1880ms step_avg:48.20ms
step:40/1190 train_time:1925ms step_avg:48.13ms
step:41/1190 train_time:1965ms step_avg:47.93ms
step:42/1190 train_time:2013ms step_avg:47.92ms
step:43/1190 train_time:2051ms step_avg:47.70ms
step:44/1190 train_time:2098ms step_avg:47.68ms
step:45/1190 train_time:2137ms step_avg:47.49ms
step:46/1190 train_time:2188ms step_avg:47.56ms
step:47/1190 train_time:2227ms step_avg:47.37ms
step:48/1190 train_time:2272ms step_avg:47.33ms
step:49/1190 train_time:2313ms step_avg:47.20ms
step:50/1190 train_time:2359ms step_avg:47.18ms
step:51/1190 train_time:2396ms step_avg:46.98ms
step:52/1190 train_time:2438ms step_avg:46.89ms
step:53/1190 train_time:2476ms step_avg:46.72ms
step:54/1190 train_time:2522ms step_avg:46.70ms
step:55/1190 train_time:2560ms step_avg:46.54ms
step:56/1190 train_time:2607ms step_avg:46.55ms
step:57/1190 train_time:2646ms step_avg:46.42ms
step:58/1190 train_time:2691ms step_avg:46.40ms
step:59/1190 train_time:2729ms step_avg:46.26ms
step:60/1190 train_time:2773ms step_avg:46.21ms
step:61/1190 train_time:2813ms step_avg:46.12ms
step:62/1190 train_time:2858ms step_avg:46.10ms
step:63/1190 train_time:2898ms step_avg:45.99ms
step:64/1190 train_time:2943ms step_avg:45.98ms
step:65/1190 train_time:2980ms step_avg:45.85ms
step:66/1190 train_time:3026ms step_avg:45.86ms
step:67/1190 train_time:3064ms step_avg:45.73ms
step:68/1190 train_time:3112ms step_avg:45.76ms
step:69/1190 train_time:3150ms step_avg:45.66ms
step:70/1190 train_time:3197ms step_avg:45.67ms
step:71/1190 train_time:3237ms step_avg:45.59ms
step:72/1190 train_time:3281ms step_avg:45.57ms
step:73/1190 train_time:3321ms step_avg:45.50ms
step:74/1190 train_time:3365ms step_avg:45.47ms
step:75/1190 train_time:3405ms step_avg:45.40ms
step:76/1190 train_time:3453ms step_avg:45.44ms
step:77/1190 train_time:3491ms step_avg:45.33ms
step:78/1190 train_time:3536ms step_avg:45.33ms
step:79/1190 train_time:3574ms step_avg:45.24ms
step:80/1190 train_time:3621ms step_avg:45.26ms
step:81/1190 train_time:3661ms step_avg:45.20ms
step:82/1190 train_time:3707ms step_avg:45.21ms
step:83/1190 train_time:3744ms step_avg:45.11ms
step:84/1190 train_time:3789ms step_avg:45.11ms
step:85/1190 train_time:3827ms step_avg:45.02ms
