HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 12 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 7
4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/2e4b396c-4720-4785-bb7f-7d127903b773.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83033180 train_time:83ms step_avg:83.28ms
step:1/1190 train_time:241ms step_avg:241.44ms
step:2/1190 train_time:293ms step_avg:146.38ms
step:3/1190 train_time:336ms step_avg:112.13ms
step:4/1190 train_time:383ms step_avg:95.73ms
step:5/1190 train_time:424ms step_avg:84.88ms
step:6/1190 train_time:468ms step_avg:78.06ms
step:7/1190 train_time:509ms step_avg:72.76ms
step:8/1190 train_time:555ms step_avg:69.37ms
step:9/1190 train_time:600ms step_avg:66.66ms
step:10/1190 train_time:645ms step_avg:64.50ms
step:11/1190 train_time:682ms step_avg:61.99ms
step:12/1190 train_time:728ms step_avg:60.68ms
step:13/1190 train_time:766ms step_avg:58.93ms
step:14/1190 train_time:811ms step_avg:57.94ms
step:15/1190 train_time:851ms step_avg:56.71ms
step:16/1190 train_time:896ms step_avg:55.98ms
step:17/1190 train_time:930ms step_avg:54.71ms
step:18/1190 train_time:972ms step_avg:54.02ms
step:19/1190 train_time:1014ms step_avg:53.37ms
step:20/1190 train_time:1060ms step_avg:53.02ms
step:21/1190 train_time:1099ms step_avg:52.33ms
step:22/1190 train_time:1144ms step_avg:52.00ms
step:23/1190 train_time:1182ms step_avg:51.41ms
step:24/1190 train_time:1224ms step_avg:50.99ms
step:25/1190 train_time:1262ms step_avg:50.50ms
step:26/1190 train_time:1307ms step_avg:50.28ms
step:27/1190 train_time:1345ms step_avg:49.80ms
step:28/1190 train_time:1389ms step_avg:49.61ms
step:29/1190 train_time:1428ms step_avg:49.24ms
step:30/1190 train_time:1474ms step_avg:49.12ms
step:31/1190 train_time:1513ms step_avg:48.82ms
step:32/1190 train_time:1556ms step_avg:48.64ms
step:33/1190 train_time:1595ms step_avg:48.34ms
step:34/1190 train_time:1641ms step_avg:48.26ms
step:35/1190 train_time:1678ms step_avg:47.95ms
step:36/1190 train_time:1726ms step_avg:47.94ms
step:37/1190 train_time:1763ms step_avg:47.65ms
step:38/1190 train_time:1807ms step_avg:47.56ms
step:39/1190 train_time:1846ms step_avg:47.33ms
step:40/1190 train_time:1895ms step_avg:47.37ms
step:41/1190 train_time:1933ms step_avg:47.15ms
step:42/1190 train_time:1977ms step_avg:47.07ms
step:43/1190 train_time:2017ms step_avg:46.90ms
step:44/1190 train_time:2062ms step_avg:46.86ms
step:45/1190 train_time:2100ms step_avg:46.67ms
step:46/1190 train_time:2145ms step_avg:46.63ms
step:47/1190 train_time:2184ms step_avg:46.47ms
step:48/1190 train_time:2233ms step_avg:46.53ms
step:49/1190 train_time:2271ms step_avg:46.35ms
step:50/1190 train_time:2314ms step_avg:46.29ms
step:51/1190 train_time:2355ms step_avg:46.17ms
step:52/1190 train_time:2400ms step_avg:46.16ms
step:53/1190 train_time:2438ms step_avg:46.00ms
step:54/1190 train_time:2483ms step_avg:45.97ms
step:55/1190 train_time:2522ms step_avg:45.85ms
step:56/1190 train_time:2565ms step_avg:45.80ms
step:57/1190 train_time:2603ms step_avg:45.67ms
step:58/1190 train_time:2649ms step_avg:45.67ms
step:59/1190 train_time:2690ms step_avg:45.60ms
step:60/1190 train_time:2738ms step_avg:45.63ms
step:61/1190 train_time:2773ms step_avg:45.45ms
step:62/1190 train_time:2818ms step_avg:45.45ms
step:63/1190 train_time:2856ms step_avg:45.33ms
step:64/1190 train_time:2899ms step_avg:45.30ms
step:65/1190 train_time:2939ms step_avg:45.21ms
step:66/1190 train_time:2986ms step_avg:45.24ms
step:67/1190 train_time:3026ms step_avg:45.16ms
step:68/1190 train_time:3073ms step_avg:45.19ms
step:69/1190 train_time:3110ms step_avg:45.08ms
step:70/1190 train_time:3157ms step_avg:45.11ms
step:71/1190 train_time:3193ms step_avg:44.97ms
step:72/1190 train_time:3239ms step_avg:44.98ms
step:73/1190 train_time:3276ms step_avg:44.87ms
step:74/1190 train_time:3319ms step_avg:44.85ms
step:75/1190 train_time:3357ms step_avg:44.77ms
step:76/1190 train_time:3401ms step_avg:44.75ms
step:77/1190 train_time:3440ms step_avg:44.67ms
step:78/1190 train_time:3484ms step_avg:44.67ms
step:79/1190 train_time:3522ms step_avg:44.58ms
step:80/1190 train_time:3566ms step_avg:44.58ms
step:81/1190 train_time:3605ms step_avg:44.51ms
step:82/1190 train_time:3652ms step_avg:44.54ms
step:83/1190 train_time:3693ms step_avg:44.49ms
step:84/1190 train_time:3740ms step_avg:44.52ms
step:85/1190 train_time:3778ms step_avg:44.45ms
step:86/1190 train_time:3822ms step_avg:44.44ms
step:87/1190 train_time:3858ms step_avg:44.35ms
step:88/1190 train_time:3903ms step_avg:44.35ms
