HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 4 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to [Gloo] Rank 7 peer ranks. 6Expected number of connected peer ranks is :  is connected to 77 peer ranks. Expected number of connected peer ranks is : 
7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/97230b47-11e2-4f7a-8761-54e8bdbb4c62.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82943153 train_time:77ms step_avg:77.27ms
step:1/1190 train_time:237ms step_avg:237.46ms
step:2/1190 train_time:308ms step_avg:154.13ms
step:3/1190 train_time:349ms step_avg:116.40ms
step:4/1190 train_time:399ms step_avg:99.87ms
step:5/1190 train_time:441ms step_avg:88.21ms
step:6/1190 train_time:489ms step_avg:81.48ms
step:7/1190 train_time:530ms step_avg:75.67ms
step:8/1190 train_time:582ms step_avg:72.76ms
step:9/1190 train_time:625ms step_avg:69.39ms
step:10/1190 train_time:674ms step_avg:67.37ms
step:11/1190 train_time:712ms step_avg:64.77ms
step:12/1190 train_time:759ms step_avg:63.25ms
step:13/1190 train_time:798ms step_avg:61.36ms
step:14/1190 train_time:845ms step_avg:60.33ms
step:15/1190 train_time:884ms step_avg:58.93ms
step:16/1190 train_time:933ms step_avg:58.29ms
step:17/1190 train_time:969ms step_avg:57.00ms
step:18/1190 train_time:1017ms step_avg:56.49ms
step:19/1190 train_time:1057ms step_avg:55.63ms
step:20/1190 train_time:1106ms step_avg:55.28ms
step:21/1190 train_time:1147ms step_avg:54.63ms
step:22/1190 train_time:1193ms step_avg:54.23ms
step:23/1190 train_time:1234ms step_avg:53.64ms
step:24/1190 train_time:1280ms step_avg:53.34ms
step:25/1190 train_time:1319ms step_avg:52.78ms
step:26/1190 train_time:1364ms step_avg:52.47ms
step:27/1190 train_time:1404ms step_avg:51.99ms
step:28/1190 train_time:1452ms step_avg:51.86ms
step:29/1190 train_time:1491ms step_avg:51.41ms
step:30/1190 train_time:1539ms step_avg:51.31ms
step:31/1190 train_time:1577ms step_avg:50.86ms
step:32/1190 train_time:1622ms step_avg:50.70ms
step:33/1190 train_time:1663ms step_avg:50.39ms
step:34/1190 train_time:1712ms step_avg:50.35ms
step:35/1190 train_time:1752ms step_avg:50.05ms
step:36/1190 train_time:1798ms step_avg:49.94ms
step:37/1190 train_time:1838ms step_avg:49.69ms
step:38/1190 train_time:1884ms step_avg:49.58ms
step:39/1190 train_time:1923ms step_avg:49.32ms
step:40/1190 train_time:1975ms step_avg:49.37ms
step:41/1190 train_time:2014ms step_avg:49.12ms
step:42/1190 train_time:2061ms step_avg:49.08ms
step:43/1190 train_time:2100ms step_avg:48.84ms
step:44/1190 train_time:2147ms step_avg:48.80ms
step:45/1190 train_time:2186ms step_avg:48.58ms
step:46/1190 train_time:2232ms step_avg:48.53ms
step:47/1190 train_time:2273ms step_avg:48.36ms
step:48/1190 train_time:2318ms step_avg:48.29ms
step:49/1190 train_time:2357ms step_avg:48.10ms
step:50/1190 train_time:2403ms step_avg:48.06ms
step:51/1190 train_time:2442ms step_avg:47.88ms
step:52/1190 train_time:2486ms step_avg:47.80ms
step:53/1190 train_time:2525ms step_avg:47.65ms
step:54/1190 train_time:2574ms step_avg:47.67ms
step:55/1190 train_time:2612ms step_avg:47.48ms
step:56/1190 train_time:2658ms step_avg:47.47ms
step:57/1190 train_time:2696ms step_avg:47.30ms
