HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/eaae6373-2f85-4159-8202-9393528cf6c5.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82990456 train_time:83ms step_avg:83.31ms
step:1/1190 train_time:248ms step_avg:247.63ms
step:2/1190 train_time:298ms step_avg:149.13ms
step:3/1190 train_time:342ms step_avg:113.95ms
step:4/1190 train_time:393ms step_avg:98.32ms
step:5/1190 train_time:431ms step_avg:86.21ms
step:6/1190 train_time:476ms step_avg:79.38ms
step:7/1190 train_time:515ms step_avg:73.57ms
step:8/1190 train_time:561ms step_avg:70.17ms
step:9/1190 train_time:605ms step_avg:67.25ms
step:10/1190 train_time:654ms step_avg:65.38ms
step:11/1190 train_time:691ms step_avg:62.84ms
step:12/1190 train_time:741ms step_avg:61.75ms
step:13/1190 train_time:777ms step_avg:59.80ms
step:14/1190 train_time:821ms step_avg:58.66ms
step:15/1190 train_time:864ms step_avg:57.59ms
step:16/1190 train_time:911ms step_avg:56.94ms
step:17/1190 train_time:951ms step_avg:55.96ms
step:18/1190 train_time:997ms step_avg:55.40ms
step:19/1190 train_time:1038ms step_avg:54.62ms
step:20/1190 train_time:1083ms step_avg:54.15ms
step:21/1190 train_time:1120ms step_avg:53.34ms
step:22/1190 train_time:1168ms step_avg:53.09ms
step:23/1190 train_time:1207ms step_avg:52.48ms
step:24/1190 train_time:1254ms step_avg:52.27ms
step:25/1190 train_time:1292ms step_avg:51.69ms
step:26/1190 train_time:1344ms step_avg:51.68ms
step:27/1190 train_time:1383ms step_avg:51.22ms
step:28/1190 train_time:1427ms step_avg:50.98ms
step:29/1190 train_time:1467ms step_avg:50.60ms
step:30/1190 train_time:1511ms step_avg:50.38ms
step:31/1190 train_time:1552ms step_avg:50.05ms
step:32/1190 train_time:1598ms step_avg:49.94ms
step:33/1190 train_time:1638ms step_avg:49.65ms
step:34/1190 train_time:1682ms step_avg:49.47ms
step:35/1190 train_time:1720ms step_avg:49.14ms
step:36/1190 train_time:1764ms step_avg:49.01ms
step:37/1190 train_time:1803ms step_avg:48.73ms
step:38/1190 train_time:1850ms step_avg:48.67ms
step:39/1190 train_time:1888ms step_avg:48.42ms
step:40/1190 train_time:1935ms step_avg:48.38ms
step:41/1190 train_time:1973ms step_avg:48.11ms
step:42/1190 train_time:2016ms step_avg:48.00ms
step:43/1190 train_time:2058ms step_avg:47.86ms
step:44/1190 train_time:2103ms step_avg:47.81ms
step:45/1190 train_time:2143ms step_avg:47.63ms
step:46/1190 train_time:2190ms step_avg:47.62ms
step:47/1190 train_time:2229ms step_avg:47.42ms
step:48/1190 train_time:2274ms step_avg:47.38ms
step:49/1190 train_time:2313ms step_avg:47.20ms
step:50/1190 train_time:2361ms step_avg:47.22ms
step:51/1190 train_time:2399ms step_avg:47.05ms
step:52/1190 train_time:2443ms step_avg:46.98ms
step:53/1190 train_time:2481ms step_avg:46.82ms
step:54/1190 train_time:2528ms step_avg:46.82ms
step:55/1190 train_time:2566ms step_avg:46.66ms
step:56/1190 train_time:2610ms step_avg:46.60ms
step:57/1190 train_time:2650ms step_avg:46.50ms
