HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 75 is connected to 
7 peer ranks. [Gloo] Rank 4 is connected to Expected number of connected peer ranks is : 77 peer ranks. 
Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/d2ccd230-c0a3-41cc-a837-3b98b846d418.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83035660 train_time:72ms step_avg:71.98ms
step:1/1190 train_time:299ms step_avg:299.34ms
step:2/1190 train_time:347ms step_avg:173.63ms
step:3/1190 train_time:388ms step_avg:129.38ms
step:4/1190 train_time:437ms step_avg:109.24ms
step:5/1190 train_time:475ms step_avg:94.96ms
step:6/1190 train_time:521ms step_avg:86.86ms
step:7/1190 train_time:560ms step_avg:79.98ms
step:8/1190 train_time:606ms step_avg:75.71ms
step:9/1190 train_time:649ms step_avg:72.06ms
step:10/1190 train_time:696ms step_avg:69.62ms
step:11/1190 train_time:738ms step_avg:67.11ms
step:12/1190 train_time:784ms step_avg:65.33ms
step:13/1190 train_time:823ms step_avg:63.33ms
step:14/1190 train_time:870ms step_avg:62.18ms
step:15/1190 train_time:909ms step_avg:60.57ms
step:16/1190 train_time:953ms step_avg:59.59ms
step:17/1190 train_time:993ms step_avg:58.41ms
step:18/1190 train_time:1036ms step_avg:57.54ms
step:19/1190 train_time:1075ms step_avg:56.59ms
step:20/1190 train_time:1119ms step_avg:55.97ms
step:21/1190 train_time:1158ms step_avg:55.15ms
step:22/1190 train_time:1203ms step_avg:54.68ms
step:23/1190 train_time:1246ms step_avg:54.18ms
step:24/1190 train_time:1292ms step_avg:53.83ms
step:25/1190 train_time:1333ms step_avg:53.30ms
step:26/1190 train_time:1373ms step_avg:52.81ms
step:27/1190 train_time:1413ms step_avg:52.35ms
step:28/1190 train_time:1464ms step_avg:52.29ms
step:29/1190 train_time:1500ms step_avg:51.71ms
step:30/1190 train_time:1546ms step_avg:51.53ms
step:31/1190 train_time:1584ms step_avg:51.11ms
step:32/1190 train_time:1628ms step_avg:50.88ms
step:33/1190 train_time:1664ms step_avg:50.42ms
step:34/1190 train_time:1710ms step_avg:50.30ms
step:35/1190 train_time:1747ms step_avg:49.92ms
step:36/1190 train_time:1785ms step_avg:49.59ms
step:37/1190 train_time:1822ms step_avg:49.25ms
step:38/1190 train_time:1869ms step_avg:49.18ms
step:39/1190 train_time:1905ms step_avg:48.85ms
step:40/1190 train_time:1953ms step_avg:48.82ms
step:41/1190 train_time:1991ms step_avg:48.56ms
step:42/1190 train_time:2035ms step_avg:48.46ms
step:43/1190 train_time:2073ms step_avg:48.22ms
step:44/1190 train_time:2116ms step_avg:48.09ms
step:45/1190 train_time:2152ms step_avg:47.82ms
step:46/1190 train_time:2198ms step_avg:47.78ms
step:47/1190 train_time:2235ms step_avg:47.56ms
step:48/1190 train_time:2278ms step_avg:47.47ms
step:49/1190 train_time:2315ms step_avg:47.24ms
step:50/1190 train_time:2361ms step_avg:47.22ms
step:51/1190 train_time:2398ms step_avg:47.03ms
step:52/1190 train_time:2443ms step_avg:46.97ms
step:53/1190 train_time:2481ms step_avg:46.80ms
step:54/1190 train_time:2527ms step_avg:46.80ms
step:55/1190 train_time:2568ms step_avg:46.69ms
step:56/1190 train_time:2611ms step_avg:46.62ms
step:57/1190 train_time:2651ms step_avg:46.51ms
