HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2[Gloo] Rank  is connected to 75 peer ranks. Expected number of connected peer ranks is :  is connected to 7
7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7[Gloo] Rank  peer ranks. 6Expected number of connected peer ranks is :  is connected to 7
7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/5c55489f-b8e9-456e-875a-ea083deb84bb.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83077431 train_time:110ms step_avg:110.34ms
step:1/1285 train_time:323ms step_avg:322.84ms
step:2/1285 train_time:390ms step_avg:195.24ms
step:3/1285 train_time:443ms step_avg:147.57ms
step:4/1285 train_time:499ms step_avg:124.77ms
step:5/1285 train_time:548ms step_avg:109.65ms
step:6/1285 train_time:623ms step_avg:103.89ms
step:7/1285 train_time:684ms step_avg:97.67ms
step:8/1285 train_time:743ms step_avg:92.90ms
step:9/1285 train_time:794ms step_avg:88.18ms
step:10/1285 train_time:853ms step_avg:85.25ms
step:11/1285 train_time:902ms step_avg:82.02ms
step:12/1285 train_time:958ms step_avg:79.85ms
step:13/1285 train_time:1010ms step_avg:77.70ms
step:14/1285 train_time:1068ms step_avg:76.32ms
step:15/1285 train_time:1120ms step_avg:74.69ms
step:16/1285 train_time:1178ms step_avg:73.63ms
step:17/1285 train_time:1227ms step_avg:72.19ms
step:18/1285 train_time:1283ms step_avg:71.28ms
step:19/1285 train_time:1334ms step_avg:70.19ms
step:20/1285 train_time:1389ms step_avg:69.43ms
step:21/1285 train_time:1437ms step_avg:68.44ms
step:22/1285 train_time:1497ms step_avg:68.02ms
step:23/1285 train_time:1545ms step_avg:67.19ms
step:24/1285 train_time:1603ms step_avg:66.80ms
step:25/1285 train_time:1655ms step_avg:66.18ms
step:26/1285 train_time:1711ms step_avg:65.80ms
step:27/1285 train_time:1760ms step_avg:65.20ms
step:28/1285 train_time:1816ms step_avg:64.87ms
step:29/1285 train_time:1867ms step_avg:64.39ms
step:30/1285 train_time:1924ms step_avg:64.13ms
step:31/1285 train_time:1973ms step_avg:63.64ms
step:32/1285 train_time:2028ms step_avg:63.38ms
step:33/1285 train_time:2077ms step_avg:62.94ms
step:34/1285 train_time:2135ms step_avg:62.80ms
step:35/1285 train_time:2182ms step_avg:62.36ms
step:36/1285 train_time:2240ms step_avg:62.23ms
step:37/1285 train_time:2291ms step_avg:61.92ms
step:38/1285 train_time:2349ms step_avg:61.82ms
step:39/1285 train_time:2399ms step_avg:61.52ms
step:40/1285 train_time:2458ms step_avg:61.45ms
step:41/1285 train_time:2506ms step_avg:61.12ms
step:42/1285 train_time:2562ms step_avg:61.01ms
step:43/1285 train_time:2613ms step_avg:60.76ms
step:44/1285 train_time:2670ms step_avg:60.68ms
step:45/1285 train_time:2726ms step_avg:60.57ms
step:46/1285 train_time:2783ms step_avg:60.50ms
step:47/1285 train_time:2835ms step_avg:60.32ms
step:48/1285 train_time:2891ms step_avg:60.24ms
step:49/1285 train_time:2940ms step_avg:60.00ms
step:50/1285 train_time:2996ms step_avg:59.91ms
step:51/1285 train_time:3046ms step_avg:59.73ms
step:52/1285 train_time:3103ms step_avg:59.67ms
step:53/1285 train_time:3154ms step_avg:59.50ms
step:54/1285 train_time:3214ms step_avg:59.52ms
step:55/1285 train_time:3265ms step_avg:59.37ms
step:56/1285 train_time:3324ms step_avg:59.35ms
step:57/1285 train_time:3376ms step_avg:59.22ms
step:58/1285 train_time:3436ms step_avg:59.24ms
step:59/1285 train_time:3487ms step_avg:59.10ms
step:60/1285 train_time:3542ms step_avg:59.03ms
step:61/1285 train_time:3594ms step_avg:58.92ms
step:62/1285 train_time:3651ms step_avg:58.88ms
step:63/1285 train_time:3699ms step_avg:58.72ms
step:64/1285 train_time:3758ms step_avg:58.71ms
step:65/1285 train_time:3807ms step_avg:58.57ms
step:66/1285 train_time:3864ms step_avg:58.54ms
step:67/1285 train_time:3913ms step_avg:58.40ms
step:68/1285 train_time:3968ms step_avg:58.35ms
step:69/1285 train_time:4028ms step_avg:58.38ms
step:70/1285 train_time:4089ms step_avg:58.41ms
step:71/1285 train_time:4142ms step_avg:58.34ms
step:72/1285 train_time:4199ms step_avg:58.31ms
step:73/1285 train_time:4252ms step_avg:58.25ms
step:74/1285 train_time:4309ms step_avg:58.23ms
step:75/1285 train_time:4359ms step_avg:58.12ms
step:76/1285 train_time:4417ms step_avg:58.11ms
step:77/1285 train_time:4466ms step_avg:58.00ms
step:78/1285 train_time:4521ms step_avg:57.97ms
step:79/1285 train_time:4567ms step_avg:57.81ms
step:80/1285 train_time:4623ms step_avg:57.79ms
step:81/1285 train_time:4670ms step_avg:57.66ms
step:82/1285 train_time:4729ms step_avg:57.67ms
step:83/1285 train_time:4778ms step_avg:57.57ms
step:84/1285 train_time:4836ms step_avg:57.57ms
step:85/1285 train_time:4885ms step_avg:57.47ms
step:86/1285 train_time:4940ms step_avg:57.45ms
step:87/1285 train_time:4990ms step_avg:57.36ms
step:88/1285 train_time:5047ms step_avg:57.36ms
step:89/1285 train_time:5094ms step_avg:57.24ms
step:90/1285 train_time:5149ms step_avg:57.22ms
step:91/1285 train_time:5196ms step_avg:57.10ms
step:92/1285 train_time:5253ms step_avg:57.10ms
step:93/1285 train_time:5300ms step_avg:56.99ms
step:94/1285 train_time:5356ms step_avg:56.98ms
step:95/1285 train_time:5406ms step_avg:56.91ms
step:96/1285 train_time:5464ms step_avg:56.91ms
step:97/1285 train_time:5514ms step_avg:56.84ms
step:98/1285 train_time:5571ms step_avg:56.85ms
step:99/1285 train_time:5621ms step_avg:56.77ms
step:100/1285 train_time:5678ms step_avg:56.78ms
step:101/1285 train_time:5727ms step_avg:56.70ms
step:102/1285 train_time:5784ms step_avg:56.71ms
step:103/1285 train_time:5834ms step_avg:56.64ms
step:104/1285 train_time:5890ms step_avg:56.63ms
step:105/1285 train_time:5941ms step_avg:56.58ms
step:106/1285 train_time:5998ms step_avg:56.58ms
step:107/1285 train_time:6048ms step_avg:56.53ms
step:108/1285 train_time:6106ms step_avg:56.53ms
step:109/1285 train_time:6157ms step_avg:56.48ms
step:110/1285 train_time:6215ms step_avg:56.50ms
step:111/1285 train_time:6265ms step_avg:56.44ms
step:112/1285 train_time:6321ms step_avg:56.44ms
step:113/1285 train_time:6370ms step_avg:56.37ms
step:114/1285 train_time:6429ms step_avg:56.39ms
step:115/1285 train_time:6481ms step_avg:56.35ms
step:116/1285 train_time:6538ms step_avg:56.36ms
step:117/1285 train_time:6588ms step_avg:56.31ms
step:118/1285 train_time:6646ms step_avg:56.32ms
step:119/1285 train_time:6697ms step_avg:56.28ms
step:120/1285 train_time:6755ms step_avg:56.29ms
step:121/1285 train_time:6806ms step_avg:56.24ms
step:122/1285 train_time:6862ms step_avg:56.24ms
step:123/1285 train_time:6911ms step_avg:56.19ms
step:124/1285 train_time:6968ms step_avg:56.19ms
step:125/1285 train_time:7015ms step_avg:56.12ms
step:126/1285 train_time:7070ms step_avg:56.11ms
step:127/1285 train_time:7121ms step_avg:56.07ms
step:128/1285 train_time:7180ms step_avg:56.10ms
step:129/1285 train_time:7230ms step_avg:56.05ms
step:130/1285 train_time:7286ms step_avg:56.04ms
step:131/1285 train_time:7335ms step_avg:56.00ms
step:132/1285 train_time:7390ms step_avg:55.98ms
step:133/1285 train_time:7440ms step_avg:55.94ms
step:134/1285 train_time:7494ms step_avg:55.92ms
step:135/1285 train_time:7542ms step_avg:55.87ms
step:136/1285 train_time:7600ms step_avg:55.88ms
step:137/1285 train_time:7648ms step_avg:55.83ms
step:138/1285 train_time:7705ms step_avg:55.83ms
step:139/1285 train_time:7754ms step_avg:55.79ms
step:140/1285 train_time:7809ms step_avg:55.78ms
step:141/1285 train_time:7859ms step_avg:55.74ms
step:142/1285 train_time:7915ms step_avg:55.74ms
step:143/1285 train_time:7963ms step_avg:55.69ms
step:144/1285 train_time:8019ms step_avg:55.69ms
step:145/1285 train_time:8071ms step_avg:55.66ms
step:146/1285 train_time:8127ms step_avg:55.67ms
step:147/1285 train_time:8179ms step_avg:55.64ms
step:148/1285 train_time:8234ms step_avg:55.64ms
step:149/1285 train_time:8282ms step_avg:55.59ms
step:150/1285 train_time:8339ms step_avg:55.59ms
step:151/1285 train_time:8388ms step_avg:55.55ms
step:152/1285 train_time:8445ms step_avg:55.56ms
step:153/1285 train_time:8494ms step_avg:55.52ms
step:154/1285 train_time:8551ms step_avg:55.52ms
step:155/1285 train_time:8600ms step_avg:55.48ms
step:156/1285 train_time:8656ms step_avg:55.49ms
step:157/1285 train_time:8704ms step_avg:55.44ms
step:158/1285 train_time:8760ms step_avg:55.44ms
step:159/1285 train_time:8810ms step_avg:55.41ms
step:160/1285 train_time:8867ms step_avg:55.42ms
step:161/1285 train_time:8916ms step_avg:55.38ms
step:162/1285 train_time:8971ms step_avg:55.38ms
step:163/1285 train_time:9018ms step_avg:55.32ms
step:164/1285 train_time:9071ms step_avg:55.31ms
step:165/1285 train_time:9119ms step_avg:55.27ms
step:166/1285 train_time:9175ms step_avg:55.27ms
step:167/1285 train_time:9225ms step_avg:55.24ms
step:168/1285 train_time:9279ms step_avg:55.23ms
step:169/1285 train_time:9331ms step_avg:55.21ms
step:170/1285 train_time:9389ms step_avg:55.23ms
step:171/1285 train_time:9436ms step_avg:55.18ms
step:172/1285 train_time:9490ms step_avg:55.18ms
step:173/1285 train_time:9538ms step_avg:55.13ms
step:174/1285 train_time:9596ms step_avg:55.15ms
step:175/1285 train_time:9646ms step_avg:55.12ms
step:176/1285 train_time:9701ms step_avg:55.12ms
step:177/1285 train_time:9751ms step_avg:55.09ms
step:178/1285 train_time:9806ms step_avg:55.09ms
step:179/1285 train_time:9856ms step_avg:55.06ms
step:180/1285 train_time:9912ms step_avg:55.07ms
step:181/1285 train_time:9962ms step_avg:55.04ms
step:182/1285 train_time:10019ms step_avg:55.05ms
step:183/1285 train_time:10067ms step_avg:55.01ms
step:184/1285 train_time:10122ms step_avg:55.01ms
step:185/1285 train_time:10171ms step_avg:54.98ms
step:186/1285 train_time:10228ms step_avg:54.99ms
step:187/1285 train_time:10275ms step_avg:54.95ms
step:188/1285 train_time:10331ms step_avg:54.95ms
step:189/1285 train_time:10381ms step_avg:54.92ms
step:190/1285 train_time:10435ms step_avg:54.92ms
step:191/1285 train_time:10486ms step_avg:54.90ms
step:192/1285 train_time:10541ms step_avg:54.90ms
step:193/1285 train_time:10593ms step_avg:54.88ms
step:194/1285 train_time:10648ms step_avg:54.89ms
step:195/1285 train_time:10698ms step_avg:54.86ms
step:196/1285 train_time:10754ms step_avg:54.87ms
step:197/1285 train_time:10808ms step_avg:54.86ms
step:198/1285 train_time:10864ms step_avg:54.87ms
step:199/1285 train_time:10912ms step_avg:54.83ms
step:200/1285 train_time:10969ms step_avg:54.84ms
step:201/1285 train_time:11018ms step_avg:54.82ms
step:202/1285 train_time:11076ms step_avg:54.83ms
step:203/1285 train_time:11125ms step_avg:54.80ms
step:204/1285 train_time:11182ms step_avg:54.81ms
step:205/1285 train_time:11231ms step_avg:54.79ms
step:206/1285 train_time:11289ms step_avg:54.80ms
step:207/1285 train_time:11338ms step_avg:54.77ms
step:208/1285 train_time:11393ms step_avg:54.78ms
step:209/1285 train_time:11444ms step_avg:54.76ms
step:210/1285 train_time:11502ms step_avg:54.77ms
step:211/1285 train_time:11552ms step_avg:54.75ms
step:212/1285 train_time:11610ms step_avg:54.76ms
step:213/1285 train_time:11660ms step_avg:54.74ms
step:214/1285 train_time:11717ms step_avg:54.75ms
step:215/1285 train_time:11767ms step_avg:54.73ms
step:216/1285 train_time:11825ms step_avg:54.74ms
step:217/1285 train_time:11876ms step_avg:54.73ms
step:218/1285 train_time:11932ms step_avg:54.74ms
step:219/1285 train_time:11982ms step_avg:54.71ms
step:220/1285 train_time:12038ms step_avg:54.72ms
step:221/1285 train_time:12086ms step_avg:54.69ms
step:222/1285 train_time:12141ms step_avg:54.69ms
step:223/1285 train_time:12189ms step_avg:54.66ms
step:224/1285 train_time:12246ms step_avg:54.67ms
step:225/1285 train_time:12295ms step_avg:54.64ms
step:226/1285 train_time:12351ms step_avg:54.65ms
step:227/1285 train_time:12401ms step_avg:54.63ms
step:228/1285 train_time:12456ms step_avg:54.63ms
step:229/1285 train_time:12504ms step_avg:54.60ms
step:230/1285 train_time:12560ms step_avg:54.61ms
step:231/1285 train_time:12609ms step_avg:54.58ms
step:232/1285 train_time:12665ms step_avg:54.59ms
step:233/1285 train_time:12715ms step_avg:54.57ms
step:234/1285 train_time:12772ms step_avg:54.58ms
step:235/1285 train_time:12820ms step_avg:54.55ms
step:236/1285 train_time:12877ms step_avg:54.56ms
step:237/1285 train_time:12926ms step_avg:54.54ms
step:238/1285 train_time:12981ms step_avg:54.54ms
step:239/1285 train_time:13030ms step_avg:54.52ms
step:240/1285 train_time:13088ms step_avg:54.53ms
step:241/1285 train_time:13136ms step_avg:54.51ms
step:242/1285 train_time:13195ms step_avg:54.52ms
step:243/1285 train_time:13243ms step_avg:54.50ms
step:244/1285 train_time:13299ms step_avg:54.51ms
step:245/1285 train_time:13348ms step_avg:54.48ms
step:246/1285 train_time:13404ms step_avg:54.49ms
step:247/1285 train_time:13453ms step_avg:54.47ms
step:248/1285 train_time:13509ms step_avg:54.47ms
step:249/1285 train_time:13557ms step_avg:54.45ms
step:250/1285 train_time:13610ms step_avg:54.44ms
step:250/1285 val_loss:4.48538589 train_time:13612ms step_avg:54.45ms
step:251/1285 train_time:13665ms step_avg:54.44ms
step:252/1285 train_time:13721ms step_avg:54.45ms
step:253/1285 train_time:13773ms step_avg:54.44ms
step:254/1285 train_time:13832ms step_avg:54.46ms
step:255/1285 train_time:13882ms step_avg:54.44ms
step:256/1285 train_time:13938ms step_avg:54.45ms
step:257/1285 train_time:13988ms step_avg:54.43ms
step:258/1285 train_time:14045ms step_avg:54.44ms
step:259/1285 train_time:14096ms step_avg:54.42ms
step:260/1285 train_time:14151ms step_avg:54.43ms
step:261/1285 train_time:14201ms step_avg:54.41ms
step:262/1285 train_time:14258ms step_avg:54.42ms
step:263/1285 train_time:14308ms step_avg:54.40ms
step:264/1285 train_time:14367ms step_avg:54.42ms
step:265/1285 train_time:14417ms step_avg:54.40ms
step:266/1285 train_time:14472ms step_avg:54.40ms
step:267/1285 train_time:14521ms step_avg:54.39ms
