HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 7
1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/0c3f09ae-81cb-4fa4-a314-9416c62a29a7.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83049202 train_time:72ms step_avg:72.28ms
step:1/1285 train_time:295ms step_avg:295.15ms
step:2/1285 train_time:359ms step_avg:179.27ms
step:3/1285 train_time:416ms step_avg:138.76ms
step:4/1285 train_time:477ms step_avg:119.13ms
step:5/1285 train_time:531ms step_avg:106.12ms
step:6/1285 train_time:593ms step_avg:98.87ms
step:7/1285 train_time:648ms step_avg:92.55ms
step:8/1285 train_time:707ms step_avg:88.39ms
step:9/1285 train_time:759ms step_avg:84.38ms
step:10/1285 train_time:818ms step_avg:81.81ms
step:11/1285 train_time:869ms step_avg:79.03ms
step:12/1285 train_time:929ms step_avg:77.40ms
step:13/1285 train_time:980ms step_avg:75.38ms
step:14/1285 train_time:1034ms step_avg:73.88ms
step:15/1285 train_time:1087ms step_avg:72.44ms
step:16/1285 train_time:1142ms step_avg:71.34ms
step:17/1285 train_time:1189ms step_avg:69.94ms
step:18/1285 train_time:1247ms step_avg:69.27ms
step:19/1285 train_time:1298ms step_avg:68.33ms
step:20/1285 train_time:1358ms step_avg:67.90ms
step:21/1285 train_time:1409ms step_avg:67.12ms
step:22/1285 train_time:1469ms step_avg:66.79ms
step:23/1285 train_time:1520ms step_avg:66.09ms
step:24/1285 train_time:1575ms step_avg:65.62ms
step:25/1285 train_time:1624ms step_avg:64.97ms
step:26/1285 train_time:1678ms step_avg:64.52ms
step:27/1285 train_time:1726ms step_avg:63.94ms
step:28/1285 train_time:1782ms step_avg:63.65ms
step:29/1285 train_time:1831ms step_avg:63.13ms
step:30/1285 train_time:1888ms step_avg:62.95ms
step:31/1285 train_time:1938ms step_avg:62.52ms
step:32/1285 train_time:1994ms step_avg:62.31ms
step:33/1285 train_time:2043ms step_avg:61.92ms
step:34/1285 train_time:2100ms step_avg:61.77ms
step:35/1285 train_time:2149ms step_avg:61.39ms
step:36/1285 train_time:2205ms step_avg:61.26ms
step:37/1285 train_time:2253ms step_avg:60.89ms
step:38/1285 train_time:2308ms step_avg:60.74ms
step:39/1285 train_time:2358ms step_avg:60.47ms
step:40/1285 train_time:2416ms step_avg:60.39ms
step:41/1285 train_time:2466ms step_avg:60.15ms
step:42/1285 train_time:2525ms step_avg:60.12ms
step:43/1285 train_time:2574ms step_avg:59.87ms
step:44/1285 train_time:2631ms step_avg:59.79ms
step:45/1285 train_time:2682ms step_avg:59.59ms
step:46/1285 train_time:2738ms step_avg:59.53ms
step:47/1285 train_time:2791ms step_avg:59.39ms
step:48/1285 train_time:2848ms step_avg:59.34ms
step:49/1285 train_time:2899ms step_avg:59.16ms
step:50/1285 train_time:2955ms step_avg:59.11ms
step:51/1285 train_time:3002ms step_avg:58.86ms
step:52/1285 train_time:3058ms step_avg:58.81ms
step:53/1285 train_time:3106ms step_avg:58.59ms
step:54/1285 train_time:3162ms step_avg:58.55ms
step:55/1285 train_time:3209ms step_avg:58.34ms
step:56/1285 train_time:3265ms step_avg:58.31ms
step:57/1285 train_time:3321ms step_avg:58.27ms
