HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 7
2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/ab2a2b25-cb08-46bc-899c-5c5b645e796c.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82869434 train_time:66ms step_avg:65.83ms
step:1/1285 train_time:293ms step_avg:292.72ms
step:2/1285 train_time:359ms step_avg:179.51ms
step:3/1285 train_time:412ms step_avg:137.35ms
step:4/1285 train_time:468ms step_avg:117.04ms
step:5/1285 train_time:518ms step_avg:103.62ms
step:6/1285 train_time:595ms step_avg:99.17ms
step:7/1285 train_time:654ms step_avg:93.49ms
step:8/1285 train_time:715ms step_avg:89.36ms
step:9/1285 train_time:766ms step_avg:85.13ms
step:10/1285 train_time:825ms step_avg:82.49ms
step:11/1285 train_time:875ms step_avg:79.54ms
step:12/1285 train_time:932ms step_avg:77.66ms
step:13/1285 train_time:983ms step_avg:75.58ms
step:14/1285 train_time:1041ms step_avg:74.36ms
step:15/1285 train_time:1090ms step_avg:72.70ms
step:16/1285 train_time:1148ms step_avg:71.74ms
step:17/1285 train_time:1196ms step_avg:70.37ms
step:18/1285 train_time:1254ms step_avg:69.64ms
step:19/1285 train_time:1303ms step_avg:68.56ms
step:20/1285 train_time:1357ms step_avg:67.87ms
step:21/1285 train_time:1407ms step_avg:67.02ms
step:22/1285 train_time:1464ms step_avg:66.53ms
step:23/1285 train_time:1517ms step_avg:65.94ms
step:24/1285 train_time:1572ms step_avg:65.48ms
step:25/1285 train_time:1620ms step_avg:64.82ms
step:26/1285 train_time:1678ms step_avg:64.52ms
step:27/1285 train_time:1727ms step_avg:63.96ms
step:28/1285 train_time:1783ms step_avg:63.67ms
step:29/1285 train_time:1832ms step_avg:63.16ms
step:30/1285 train_time:1890ms step_avg:62.99ms
step:31/1285 train_time:1940ms step_avg:62.58ms
step:32/1285 train_time:1997ms step_avg:62.39ms
step:33/1285 train_time:2045ms step_avg:61.97ms
step:34/1285 train_time:2102ms step_avg:61.83ms
step:35/1285 train_time:2152ms step_avg:61.48ms
step:36/1285 train_time:2209ms step_avg:61.36ms
step:37/1285 train_time:2259ms step_avg:61.04ms
step:38/1285 train_time:2316ms step_avg:60.96ms
step:39/1285 train_time:2365ms step_avg:60.65ms
step:40/1285 train_time:2422ms step_avg:60.54ms
step:41/1285 train_time:2472ms step_avg:60.28ms
step:42/1285 train_time:2530ms step_avg:60.23ms
step:43/1285 train_time:2581ms step_avg:60.03ms
step:44/1285 train_time:2640ms step_avg:60.00ms
step:45/1285 train_time:2691ms step_avg:59.81ms
step:46/1285 train_time:2749ms step_avg:59.75ms
step:47/1285 train_time:2798ms step_avg:59.54ms
step:48/1285 train_time:2855ms step_avg:59.48ms
step:49/1285 train_time:2905ms step_avg:59.30ms
step:50/1285 train_time:2964ms step_avg:59.28ms
step:51/1285 train_time:3015ms step_avg:59.13ms
step:52/1285 train_time:3071ms step_avg:59.06ms
step:53/1285 train_time:3124ms step_avg:58.94ms
step:54/1285 train_time:3182ms step_avg:58.92ms
step:55/1285 train_time:3231ms step_avg:58.75ms
step:56/1285 train_time:3289ms step_avg:58.73ms
step:57/1285 train_time:3340ms step_avg:58.60ms
