HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to [Gloo] Rank 67 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/c1d9ccb5-f7fa-4fa8-b77d-e343437120ed.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83183098 train_time:84ms step_avg:84.11ms
step:1/1285 train_time:371ms step_avg:371.22ms
step:2/1285 train_time:434ms step_avg:216.93ms
step:3/1285 train_time:484ms step_avg:161.49ms
step:4/1285 train_time:546ms step_avg:136.51ms
step:5/1285 train_time:616ms step_avg:123.20ms
step:6/1285 train_time:677ms step_avg:112.86ms
step:7/1285 train_time:736ms step_avg:105.12ms
step:8/1285 train_time:795ms step_avg:99.39ms
step:9/1285 train_time:849ms step_avg:94.35ms
step:10/1285 train_time:905ms step_avg:90.55ms
step:11/1285 train_time:959ms step_avg:87.15ms
step:12/1285 train_time:1017ms step_avg:84.72ms
step:13/1285 train_time:1068ms step_avg:82.13ms
step:14/1285 train_time:1127ms step_avg:80.51ms
step:15/1285 train_time:1178ms step_avg:78.52ms
step:16/1285 train_time:1237ms step_avg:77.29ms
step:17/1285 train_time:1286ms step_avg:75.66ms
step:18/1285 train_time:1346ms step_avg:74.80ms
step:19/1285 train_time:1400ms step_avg:73.70ms
step:20/1285 train_time:1460ms step_avg:73.02ms
step:21/1285 train_time:1511ms step_avg:71.95ms
step:22/1285 train_time:1568ms step_avg:71.26ms
step:23/1285 train_time:1617ms step_avg:70.32ms
step:24/1285 train_time:1677ms step_avg:69.88ms
step:25/1285 train_time:1727ms step_avg:69.10ms
step:26/1285 train_time:1784ms step_avg:68.60ms
step:27/1285 train_time:1837ms step_avg:68.05ms
step:28/1285 train_time:1894ms step_avg:67.65ms
step:29/1285 train_time:1945ms step_avg:67.06ms
step:30/1285 train_time:2001ms step_avg:66.70ms
step:31/1285 train_time:2053ms step_avg:66.24ms
step:32/1285 train_time:2111ms step_avg:65.98ms
step:33/1285 train_time:2160ms step_avg:65.47ms
step:34/1285 train_time:2218ms step_avg:65.23ms
step:35/1285 train_time:2268ms step_avg:64.81ms
step:36/1285 train_time:2325ms step_avg:64.59ms
step:37/1285 train_time:2375ms step_avg:64.20ms
step:38/1285 train_time:2433ms step_avg:64.02ms
step:39/1285 train_time:2483ms step_avg:63.66ms
step:40/1285 train_time:2542ms step_avg:63.54ms
step:41/1285 train_time:2591ms step_avg:63.20ms
step:42/1285 train_time:2649ms step_avg:63.07ms
step:43/1285 train_time:2701ms step_avg:62.81ms
step:44/1285 train_time:2758ms step_avg:62.67ms
step:45/1285 train_time:2808ms step_avg:62.39ms
step:46/1285 train_time:2865ms step_avg:62.27ms
step:47/1285 train_time:2920ms step_avg:62.13ms
step:48/1285 train_time:2977ms step_avg:62.03ms
step:49/1285 train_time:3029ms step_avg:61.81ms
step:50/1285 train_time:3089ms step_avg:61.78ms
step:51/1285 train_time:3140ms step_avg:61.57ms
step:52/1285 train_time:3198ms step_avg:61.51ms
step:53/1285 train_time:3248ms step_avg:61.29ms
step:54/1285 train_time:3307ms step_avg:61.24ms
step:55/1285 train_time:3358ms step_avg:61.05ms
step:56/1285 train_time:3417ms step_avg:61.01ms
step:57/1285 train_time:3471ms step_avg:60.89ms
