HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6[Gloo] Rank  is connected to 77 is connected to  peer ranks. Expected number of connected peer ranks is : 77
 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/64788423-7c71-48ed-b9f4-af8267667b65.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83006001 train_time:73ms step_avg:73.43ms
step:1/1285 train_time:270ms step_avg:269.52ms
step:2/1285 train_time:334ms step_avg:166.84ms
step:3/1285 train_time:386ms step_avg:128.62ms
step:4/1285 train_time:442ms step_avg:110.46ms
step:5/1285 train_time:496ms step_avg:99.20ms
step:6/1285 train_time:557ms step_avg:92.78ms
step:7/1285 train_time:616ms step_avg:88.05ms
step:8/1285 train_time:677ms step_avg:84.61ms
step:9/1285 train_time:729ms step_avg:80.96ms
step:10/1285 train_time:786ms step_avg:78.63ms
step:11/1285 train_time:837ms step_avg:76.08ms
step:12/1285 train_time:894ms step_avg:74.47ms
step:13/1285 train_time:943ms step_avg:72.54ms
step:14/1285 train_time:997ms step_avg:71.25ms
step:15/1285 train_time:1046ms step_avg:69.75ms
step:16/1285 train_time:1100ms step_avg:68.76ms
step:17/1285 train_time:1149ms step_avg:67.59ms
step:18/1285 train_time:1205ms step_avg:66.96ms
step:19/1285 train_time:1255ms step_avg:66.07ms
step:20/1285 train_time:1314ms step_avg:65.69ms
step:21/1285 train_time:1361ms step_avg:64.83ms
step:22/1285 train_time:1420ms step_avg:64.53ms
step:23/1285 train_time:1468ms step_avg:63.83ms
step:24/1285 train_time:1523ms step_avg:63.47ms
step:25/1285 train_time:1572ms step_avg:62.87ms
step:26/1285 train_time:1631ms step_avg:62.74ms
step:27/1285 train_time:1683ms step_avg:62.35ms
step:28/1285 train_time:1738ms step_avg:62.07ms
step:29/1285 train_time:1787ms step_avg:61.62ms
step:30/1285 train_time:1846ms step_avg:61.53ms
step:31/1285 train_time:1894ms step_avg:61.10ms
step:32/1285 train_time:1944ms step_avg:60.76ms
step:33/1285 train_time:1990ms step_avg:60.30ms
step:34/1285 train_time:2045ms step_avg:60.15ms
step:35/1285 train_time:2093ms step_avg:59.80ms
step:36/1285 train_time:2146ms step_avg:59.61ms
step:37/1285 train_time:2194ms step_avg:59.30ms
step:38/1285 train_time:2247ms step_avg:59.14ms
step:39/1285 train_time:2292ms step_avg:58.76ms
step:40/1285 train_time:2344ms step_avg:58.60ms
step:41/1285 train_time:2391ms step_avg:58.32ms
step:42/1285 train_time:2444ms step_avg:58.20ms
step:43/1285 train_time:2491ms step_avg:57.94ms
step:44/1285 train_time:2547ms step_avg:57.88ms
step:45/1285 train_time:2594ms step_avg:57.64ms
step:46/1285 train_time:2648ms step_avg:57.56ms
step:47/1285 train_time:2697ms step_avg:57.39ms
step:48/1285 train_time:2753ms step_avg:57.35ms
step:49/1285 train_time:2800ms step_avg:57.14ms
step:50/1285 train_time:2855ms step_avg:57.11ms
step:51/1285 train_time:2906ms step_avg:56.98ms
step:52/1285 train_time:2964ms step_avg:57.00ms
step:53/1285 train_time:3013ms step_avg:56.86ms
step:54/1285 train_time:3068ms step_avg:56.82ms
step:55/1285 train_time:3118ms step_avg:56.69ms
step:56/1285 train_time:3172ms step_avg:56.64ms
step:57/1285 train_time:3221ms step_avg:56.51ms
