HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 6 is connected to 7 is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 7
7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/d8b9cc5d-b76c-4306-b8d6-54e6a6585e7a.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82944393 train_time:75ms step_avg:75.19ms
step:1/1285 train_time:217ms step_avg:216.79ms
step:2/1285 train_time:322ms step_avg:160.76ms
step:3/1285 train_time:377ms step_avg:125.66ms
step:4/1285 train_time:441ms step_avg:110.27ms
step:5/1285 train_time:494ms step_avg:98.89ms
step:6/1285 train_time:557ms step_avg:92.77ms
step:7/1285 train_time:617ms step_avg:88.07ms
step:8/1285 train_time:674ms step_avg:84.31ms
step:9/1285 train_time:726ms step_avg:80.68ms
step:10/1285 train_time:787ms step_avg:78.65ms
step:11/1285 train_time:840ms step_avg:76.33ms
step:12/1285 train_time:897ms step_avg:74.74ms
step:13/1285 train_time:948ms step_avg:72.93ms
step:14/1285 train_time:1006ms step_avg:71.87ms
step:15/1285 train_time:1059ms step_avg:70.58ms
step:16/1285 train_time:1117ms step_avg:69.81ms
step:17/1285 train_time:1169ms step_avg:68.74ms
step:18/1285 train_time:1228ms step_avg:68.23ms
step:19/1285 train_time:1279ms step_avg:67.30ms
step:20/1285 train_time:1340ms step_avg:67.00ms
step:21/1285 train_time:1391ms step_avg:66.25ms
step:22/1285 train_time:1449ms step_avg:65.86ms
step:23/1285 train_time:1500ms step_avg:65.24ms
step:24/1285 train_time:1558ms step_avg:64.93ms
step:25/1285 train_time:1612ms step_avg:64.46ms
step:26/1285 train_time:1670ms step_avg:64.25ms
step:27/1285 train_time:1723ms step_avg:63.81ms
step:28/1285 train_time:1782ms step_avg:63.63ms
step:29/1285 train_time:1832ms step_avg:63.16ms
step:30/1285 train_time:1889ms step_avg:62.98ms
step:31/1285 train_time:1940ms step_avg:62.58ms
step:32/1285 train_time:1996ms step_avg:62.38ms
step:33/1285 train_time:2046ms step_avg:62.01ms
step:34/1285 train_time:2103ms step_avg:61.86ms
step:35/1285 train_time:2153ms step_avg:61.52ms
step:36/1285 train_time:2209ms step_avg:61.37ms
step:37/1285 train_time:2261ms step_avg:61.11ms
step:38/1285 train_time:2320ms step_avg:61.05ms
step:39/1285 train_time:2371ms step_avg:60.79ms
step:40/1285 train_time:2430ms step_avg:60.74ms
step:41/1285 train_time:2479ms step_avg:60.46ms
step:42/1285 train_time:2538ms step_avg:60.42ms
step:43/1285 train_time:2590ms step_avg:60.23ms
step:44/1285 train_time:2648ms step_avg:60.17ms
step:45/1285 train_time:2698ms step_avg:59.94ms
step:46/1285 train_time:2754ms step_avg:59.88ms
step:47/1285 train_time:2805ms step_avg:59.67ms
step:48/1285 train_time:2861ms step_avg:59.60ms
step:49/1285 train_time:2912ms step_avg:59.43ms
step:50/1285 train_time:2969ms step_avg:59.38ms
step:51/1285 train_time:3020ms step_avg:59.22ms
step:52/1285 train_time:3079ms step_avg:59.21ms
step:53/1285 train_time:3130ms step_avg:59.05ms
step:54/1285 train_time:3188ms step_avg:59.04ms
step:55/1285 train_time:3239ms step_avg:58.90ms
step:56/1285 train_time:3298ms step_avg:58.89ms
step:57/1285 train_time:3347ms step_avg:58.72ms
