HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 1 is connected to 7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 47 is connected to 7 peer ranks. 
Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 67 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/ad5e7211-f6e2-4882-8c0a-98b664309dd1.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82970715 train_time:90ms step_avg:90.37ms
step:1/1285 train_time:323ms step_avg:322.76ms
step:2/1285 train_time:388ms step_avg:194.21ms
step:3/1285 train_time:448ms step_avg:149.19ms
step:4/1285 train_time:504ms step_avg:125.98ms
step:5/1285 train_time:555ms step_avg:111.05ms
step:6/1285 train_time:622ms step_avg:103.66ms
step:7/1285 train_time:681ms step_avg:97.31ms
step:8/1285 train_time:738ms step_avg:92.31ms
step:9/1285 train_time:788ms step_avg:87.57ms
step:10/1285 train_time:845ms step_avg:84.50ms
step:11/1285 train_time:896ms step_avg:81.42ms
step:12/1285 train_time:954ms step_avg:79.48ms
step:13/1285 train_time:1005ms step_avg:77.31ms
step:14/1285 train_time:1064ms step_avg:76.03ms
step:15/1285 train_time:1116ms step_avg:74.37ms
step:16/1285 train_time:1174ms step_avg:73.40ms
step:17/1285 train_time:1224ms step_avg:72.02ms
step:18/1285 train_time:1281ms step_avg:71.19ms
step:19/1285 train_time:1331ms step_avg:70.07ms
step:20/1285 train_time:1391ms step_avg:69.56ms
step:21/1285 train_time:1441ms step_avg:68.63ms
step:22/1285 train_time:1500ms step_avg:68.19ms
step:23/1285 train_time:1550ms step_avg:67.39ms
step:24/1285 train_time:1607ms step_avg:66.98ms
step:25/1285 train_time:1656ms step_avg:66.25ms
step:26/1285 train_time:1712ms step_avg:65.85ms
step:27/1285 train_time:1760ms step_avg:65.19ms
step:28/1285 train_time:1816ms step_avg:64.85ms
step:29/1285 train_time:1866ms step_avg:64.34ms
step:30/1285 train_time:1922ms step_avg:64.05ms
step:31/1285 train_time:1971ms step_avg:63.59ms
step:32/1285 train_time:2027ms step_avg:63.33ms
step:33/1285 train_time:2076ms step_avg:62.92ms
step:34/1285 train_time:2132ms step_avg:62.71ms
step:35/1285 train_time:2182ms step_avg:62.33ms
step:36/1285 train_time:2241ms step_avg:62.24ms
step:37/1285 train_time:2290ms step_avg:61.88ms
step:38/1285 train_time:2346ms step_avg:61.75ms
step:39/1285 train_time:2397ms step_avg:61.45ms
step:40/1285 train_time:2454ms step_avg:61.34ms
step:41/1285 train_time:2503ms step_avg:61.06ms
step:42/1285 train_time:2563ms step_avg:61.02ms
step:43/1285 train_time:2615ms step_avg:60.82ms
step:44/1285 train_time:2674ms step_avg:60.77ms
step:45/1285 train_time:2726ms step_avg:60.59ms
step:46/1285 train_time:2784ms step_avg:60.53ms
step:47/1285 train_time:2838ms step_avg:60.39ms
step:48/1285 train_time:2896ms step_avg:60.33ms
step:49/1285 train_time:2944ms step_avg:60.08ms
step:50/1285 train_time:3003ms step_avg:60.06ms
step:51/1285 train_time:3052ms step_avg:59.85ms
step:52/1285 train_time:3110ms step_avg:59.81ms
step:53/1285 train_time:3159ms step_avg:59.59ms
step:54/1285 train_time:3219ms step_avg:59.61ms
step:55/1285 train_time:3268ms step_avg:59.42ms
step:56/1285 train_time:3324ms step_avg:59.35ms
step:57/1285 train_time:3374ms step_avg:59.19ms
step:58/1285 train_time:3431ms step_avg:59.16ms
step:59/1285 train_time:3481ms step_avg:59.01ms
step:60/1285 train_time:3538ms step_avg:58.97ms
step:61/1285 train_time:3589ms step_avg:58.84ms
step:62/1285 train_time:3646ms step_avg:58.81ms
step:63/1285 train_time:3696ms step_avg:58.67ms
step:64/1285 train_time:3753ms step_avg:58.64ms
step:65/1285 train_time:3801ms step_avg:58.47ms
step:66/1285 train_time:3857ms step_avg:58.43ms
step:67/1285 train_time:3906ms step_avg:58.30ms
step:68/1285 train_time:3963ms step_avg:58.27ms
step:69/1285 train_time:4013ms step_avg:58.16ms
step:70/1285 train_time:4073ms step_avg:58.19ms
step:71/1285 train_time:4122ms step_avg:58.06ms
step:72/1285 train_time:4180ms step_avg:58.05ms
step:73/1285 train_time:4228ms step_avg:57.92ms
step:74/1285 train_time:4287ms step_avg:57.93ms
step:75/1285 train_time:4338ms step_avg:57.84ms
step:76/1285 train_time:4397ms step_avg:57.85ms
step:77/1285 train_time:4446ms step_avg:57.74ms
step:78/1285 train_time:4500ms step_avg:57.69ms
step:79/1285 train_time:4550ms step_avg:57.59ms
step:80/1285 train_time:4610ms step_avg:57.62ms
step:81/1285 train_time:4660ms step_avg:57.53ms
step:82/1285 train_time:4713ms step_avg:57.48ms
step:83/1285 train_time:4761ms step_avg:57.36ms
step:84/1285 train_time:4818ms step_avg:57.35ms
step:85/1285 train_time:4868ms step_avg:57.27ms
step:86/1285 train_time:4923ms step_avg:57.24ms
step:87/1285 train_time:4974ms step_avg:57.18ms
step:88/1285 train_time:5031ms step_avg:57.17ms
step:89/1285 train_time:5081ms step_avg:57.08ms
step:90/1285 train_time:5137ms step_avg:57.08ms
step:91/1285 train_time:5189ms step_avg:57.02ms
step:92/1285 train_time:5245ms step_avg:57.01ms
step:93/1285 train_time:5296ms step_avg:56.94ms
step:94/1285 train_time:5353ms step_avg:56.95ms
step:95/1285 train_time:5403ms step_avg:56.88ms
step:96/1285 train_time:5462ms step_avg:56.90ms
step:97/1285 train_time:5512ms step_avg:56.82ms
step:98/1285 train_time:5570ms step_avg:56.83ms
step:99/1285 train_time:5620ms step_avg:56.77ms
step:100/1285 train_time:5677ms step_avg:56.77ms
step:101/1285 train_time:5725ms step_avg:56.69ms
step:102/1285 train_time:5781ms step_avg:56.68ms
step:103/1285 train_time:5831ms step_avg:56.61ms
step:104/1285 train_time:5888ms step_avg:56.61ms
step:105/1285 train_time:5935ms step_avg:56.53ms
step:106/1285 train_time:5992ms step_avg:56.53ms
