HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 43}
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/05aa7d82-186f-4b46-8305-4bb24f2d94d3.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83004761 train_time:71ms step_avg:70.97ms
step:1/1285 train_time:313ms step_avg:313.25ms
step:2/1285 train_time:372ms step_avg:186.24ms
step:3/1285 train_time:427ms step_avg:142.26ms
step:4/1285 train_time:485ms step_avg:121.30ms
step:5/1285 train_time:540ms step_avg:108.04ms
step:6/1285 train_time:601ms step_avg:100.22ms
step:7/1285 train_time:651ms step_avg:92.95ms
step:8/1285 train_time:712ms step_avg:88.95ms
step:9/1285 train_time:762ms step_avg:84.69ms
step:10/1285 train_time:820ms step_avg:82.03ms
step:11/1285 train_time:870ms step_avg:79.07ms
step:12/1285 train_time:930ms step_avg:77.54ms
step:13/1285 train_time:980ms step_avg:75.38ms
step:14/1285 train_time:1042ms step_avg:74.46ms
step:15/1285 train_time:1093ms step_avg:72.85ms
step:16/1285 train_time:1149ms step_avg:71.80ms
step:17/1285 train_time:1203ms step_avg:70.77ms
step:18/1285 train_time:1261ms step_avg:70.06ms
step:19/1285 train_time:1311ms step_avg:68.98ms
step:20/1285 train_time:1370ms step_avg:68.49ms
step:21/1285 train_time:1417ms step_avg:67.49ms
step:22/1285 train_time:1476ms step_avg:67.07ms
step:23/1285 train_time:1527ms step_avg:66.41ms
step:24/1285 train_time:1583ms step_avg:65.97ms
step:25/1285 train_time:1632ms step_avg:65.29ms
step:26/1285 train_time:1690ms step_avg:64.99ms
step:27/1285 train_time:1741ms step_avg:64.47ms
step:28/1285 train_time:1798ms step_avg:64.22ms
step:29/1285 train_time:1847ms step_avg:63.69ms
step:30/1285 train_time:1903ms step_avg:63.45ms
step:31/1285 train_time:1952ms step_avg:62.97ms
step:32/1285 train_time:2008ms step_avg:62.76ms
step:33/1285 train_time:2060ms step_avg:62.42ms
step:34/1285 train_time:2119ms step_avg:62.32ms
step:35/1285 train_time:2169ms step_avg:61.96ms
step:36/1285 train_time:2227ms step_avg:61.87ms
step:37/1285 train_time:2277ms step_avg:61.54ms
step:38/1285 train_time:2332ms step_avg:61.36ms
step:39/1285 train_time:2381ms step_avg:61.05ms
step:40/1285 train_time:2436ms step_avg:60.91ms
step:41/1285 train_time:2488ms step_avg:60.68ms
step:42/1285 train_time:2548ms step_avg:60.67ms
step:43/1285 train_time:2603ms step_avg:60.53ms
step:44/1285 train_time:2662ms step_avg:60.49ms
step:45/1285 train_time:2713ms step_avg:60.28ms
step:46/1285 train_time:2770ms step_avg:60.22ms
step:47/1285 train_time:2819ms step_avg:59.98ms
step:48/1285 train_time:2880ms step_avg:60.00ms
step:49/1285 train_time:2929ms step_avg:59.78ms
step:50/1285 train_time:2985ms step_avg:59.69ms
step:51/1285 train_time:3033ms step_avg:59.48ms
step:52/1285 train_time:3091ms step_avg:59.43ms
step:53/1285 train_time:3143ms step_avg:59.29ms
step:54/1285 train_time:3204ms step_avg:59.33ms
step:55/1285 train_time:3253ms step_avg:59.15ms
step:56/1285 train_time:3315ms step_avg:59.20ms
step:57/1285 train_time:3367ms step_avg:59.08ms
step:58/1285 train_time:3425ms step_avg:59.06ms
step:59/1285 train_time:3476ms step_avg:58.91ms
step:60/1285 train_time:3535ms step_avg:58.92ms
step:61/1285 train_time:3588ms step_avg:58.82ms
step:62/1285 train_time:3646ms step_avg:58.80ms
step:63/1285 train_time:3696ms step_avg:58.67ms
step:64/1285 train_time:3755ms step_avg:58.67ms
step:65/1285 train_time:3807ms step_avg:58.56ms
step:66/1285 train_time:3868ms step_avg:58.60ms
step:67/1285 train_time:3918ms step_avg:58.48ms
step:68/1285 train_time:3977ms step_avg:58.49ms
step:69/1285 train_time:4025ms step_avg:58.34ms
step:70/1285 train_time:4083ms step_avg:58.33ms
step:71/1285 train_time:4133ms step_avg:58.21ms
step:72/1285 train_time:4192ms step_avg:58.22ms
step:73/1285 train_time:4243ms step_avg:58.12ms
step:74/1285 train_time:4298ms step_avg:58.09ms
step:75/1285 train_time:4351ms step_avg:58.01ms
step:76/1285 train_time:4413ms step_avg:58.06ms
step:77/1285 train_time:4465ms step_avg:57.99ms
step:78/1285 train_time:4522ms step_avg:57.98ms
step:79/1285 train_time:4573ms step_avg:57.89ms
step:80/1285 train_time:4629ms step_avg:57.87ms
step:81/1285 train_time:4679ms step_avg:57.76ms
step:82/1285 train_time:4733ms step_avg:57.72ms
step:83/1285 train_time:4784ms step_avg:57.63ms
step:84/1285 train_time:4841ms step_avg:57.63ms
step:85/1285 train_time:4889ms step_avg:57.52ms
step:86/1285 train_time:4945ms step_avg:57.50ms
step:87/1285 train_time:4993ms step_avg:57.39ms
step:88/1285 train_time:5050ms step_avg:57.39ms
step:89/1285 train_time:5096ms step_avg:57.25ms
step:90/1285 train_time:5152ms step_avg:57.24ms
step:91/1285 train_time:5199ms step_avg:57.13ms
step:92/1285 train_time:5254ms step_avg:57.11ms
step:93/1285 train_time:5305ms step_avg:57.05ms
step:94/1285 train_time:5362ms step_avg:57.04ms
step:95/1285 train_time:5409ms step_avg:56.94ms
step:96/1285 train_time:5467ms step_avg:56.95ms
step:97/1285 train_time:5516ms step_avg:56.87ms
step:98/1285 train_time:5571ms step_avg:56.85ms
step:99/1285 train_time:5618ms step_avg:56.75ms
step:100/1285 train_time:5674ms step_avg:56.74ms
step:101/1285 train_time:5721ms step_avg:56.64ms
step:102/1285 train_time:5777ms step_avg:56.64ms
step:103/1285 train_time:5826ms step_avg:56.56ms
step:104/1285 train_time:5884ms step_avg:56.58ms
step:105/1285 train_time:5935ms step_avg:56.52ms
step:106/1285 train_time:5992ms step_avg:56.53ms
step:107/1285 train_time:6043ms step_avg:56.48ms
step:108/1285 train_time:6100ms step_avg:56.48ms
step:109/1285 train_time:6149ms step_avg:56.42ms
step:110/1285 train_time:6207ms step_avg:56.43ms
step:111/1285 train_time:6256ms step_avg:56.36ms
step:112/1285 train_time:6315ms step_avg:56.38ms
step:113/1285 train_time:6364ms step_avg:56.32ms
step:114/1285 train_time:6420ms step_avg:56.31ms
step:115/1285 train_time:6470ms step_avg:56.26ms
step:116/1285 train_time:6528ms step_avg:56.27ms
step:117/1285 train_time:6578ms step_avg:56.23ms
step:118/1285 train_time:6634ms step_avg:56.22ms
step:119/1285 train_time:6682ms step_avg:56.15ms
step:120/1285 train_time:6740ms step_avg:56.17ms
step:121/1285 train_time:6789ms step_avg:56.11ms
step:122/1285 train_time:6845ms step_avg:56.11ms
step:123/1285 train_time:6894ms step_avg:56.05ms
step:124/1285 train_time:6952ms step_avg:56.06ms
step:125/1285 train_time:7002ms step_avg:56.01ms
step:126/1285 train_time:7062ms step_avg:56.05ms
step:127/1285 train_time:7113ms step_avg:56.01ms
step:128/1285 train_time:7172ms step_avg:56.03ms
step:129/1285 train_time:7222ms step_avg:55.98ms
step:130/1285 train_time:7277ms step_avg:55.98ms
step:131/1285 train_time:7328ms step_avg:55.94ms
step:132/1285 train_time:7388ms step_avg:55.97ms
step:133/1285 train_time:7438ms step_avg:55.93ms
step:134/1285 train_time:7496ms step_avg:55.94ms
step:135/1285 train_time:7547ms step_avg:55.90ms
step:136/1285 train_time:7607ms step_avg:55.93ms
step:137/1285 train_time:7656ms step_avg:55.89ms
