HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7[Gloo] Rank  peer ranks. 6Expected number of connected peer ranks is :  is connected to 7
7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/08f22fb1-9933-4f84-9c8a-f96cc5ee016c.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83168030 train_time:77ms step_avg:76.70ms
step:1/1285 train_time:331ms step_avg:330.61ms
step:2/1285 train_time:463ms step_avg:231.63ms
step:3/1285 train_time:503ms step_avg:167.62ms
step:4/1285 train_time:549ms step_avg:137.22ms
step:5/1285 train_time:587ms step_avg:117.33ms
step:6/1285 train_time:627ms step_avg:104.47ms
step:7/1285 train_time:664ms step_avg:94.89ms
step:8/1285 train_time:705ms step_avg:88.17ms
step:9/1285 train_time:740ms step_avg:82.21ms
step:10/1285 train_time:781ms step_avg:78.09ms
step:11/1285 train_time:816ms step_avg:74.18ms
step:12/1285 train_time:858ms step_avg:71.52ms
step:13/1285 train_time:892ms step_avg:68.61ms
step:14/1285 train_time:928ms step_avg:66.32ms
step:15/1285 train_time:962ms step_avg:64.14ms
step:16/1285 train_time:998ms step_avg:62.40ms
step:17/1285 train_time:1031ms step_avg:60.63ms
step:18/1285 train_time:1067ms step_avg:59.27ms
step:19/1285 train_time:1100ms step_avg:57.90ms
step:20/1285 train_time:1136ms step_avg:56.82ms
step:21/1285 train_time:1169ms step_avg:55.66ms
step:22/1285 train_time:1205ms step_avg:54.79ms
step:23/1285 train_time:1242ms step_avg:54.00ms
step:24/1285 train_time:1280ms step_avg:53.33ms
step:25/1285 train_time:1314ms step_avg:52.55ms
step:26/1285 train_time:1352ms step_avg:51.98ms
step:27/1285 train_time:1383ms step_avg:51.23ms
step:28/1285 train_time:1418ms step_avg:50.64ms
step:29/1285 train_time:1451ms step_avg:50.05ms
step:30/1285 train_time:1489ms step_avg:49.62ms
step:31/1285 train_time:1521ms step_avg:49.07ms
step:32/1285 train_time:1558ms step_avg:48.70ms
step:33/1285 train_time:1592ms step_avg:48.23ms
step:34/1285 train_time:1630ms step_avg:47.94ms
step:35/1285 train_time:1665ms step_avg:47.58ms
step:36/1285 train_time:1705ms step_avg:47.36ms
step:37/1285 train_time:1739ms step_avg:47.00ms
step:38/1285 train_time:1777ms step_avg:46.77ms
step:39/1285 train_time:1810ms step_avg:46.42ms
step:40/1285 train_time:1848ms step_avg:46.21ms
step:41/1285 train_time:1882ms step_avg:45.89ms
step:42/1285 train_time:1919ms step_avg:45.70ms
step:43/1285 train_time:1953ms step_avg:45.42ms
step:44/1285 train_time:1990ms step_avg:45.22ms
step:45/1285 train_time:2023ms step_avg:44.95ms
step:46/1285 train_time:2062ms step_avg:44.83ms
step:47/1285 train_time:2094ms step_avg:44.54ms
step:48/1285 train_time:2130ms step_avg:44.38ms
step:49/1285 train_time:2162ms step_avg:44.12ms
step:50/1285 train_time:2201ms step_avg:44.01ms
step:51/1285 train_time:2234ms step_avg:43.80ms
step:52/1285 train_time:2271ms step_avg:43.67ms
step:53/1285 train_time:2302ms step_avg:43.43ms
step:54/1285 train_time:2337ms step_avg:43.27ms
step:55/1285 train_time:2369ms step_avg:43.07ms
step:56/1285 train_time:2405ms step_avg:42.94ms
step:57/1285 train_time:2437ms step_avg:42.75ms
step:58/1285 train_time:2473ms step_avg:42.64ms
step:59/1285 train_time:2505ms step_avg:42.45ms
step:60/1285 train_time:2541ms step_avg:42.35ms
step:61/1285 train_time:2575ms step_avg:42.21ms
step:62/1285 train_time:2613ms step_avg:42.14ms
step:63/1285 train_time:2646ms step_avg:42.00ms
step:64/1285 train_time:2683ms step_avg:41.92ms
step:65/1285 train_time:2716ms step_avg:41.78ms
step:66/1285 train_time:2753ms step_avg:41.72ms
step:67/1285 train_time:2788ms step_avg:41.61ms
step:68/1285 train_time:2828ms step_avg:41.59ms
step:69/1285 train_time:2863ms step_avg:41.49ms
step:70/1285 train_time:2901ms step_avg:41.44ms
step:71/1285 train_time:2933ms step_avg:41.32ms
step:72/1285 train_time:2971ms step_avg:41.27ms
step:73/1285 train_time:3005ms step_avg:41.17ms
step:74/1285 train_time:3041ms step_avg:41.09ms
step:75/1285 train_time:3074ms step_avg:40.98ms
step:76/1285 train_time:3112ms step_avg:40.94ms
step:77/1285 train_time:3144ms step_avg:40.83ms
step:78/1285 train_time:3180ms step_avg:40.76ms
step:79/1285 train_time:3213ms step_avg:40.67ms
step:80/1285 train_time:3248ms step_avg:40.59ms
step:81/1285 train_time:3278ms step_avg:40.47ms
step:82/1285 train_time:3313ms step_avg:40.41ms
step:83/1285 train_time:3347ms step_avg:40.32ms
step:84/1285 train_time:3384ms step_avg:40.29ms
step:85/1285 train_time:3416ms step_avg:40.19ms
step:86/1285 train_time:3448ms step_avg:40.09ms
step:87/1285 train_time:3480ms step_avg:40.00ms
step:88/1285 train_time:3514ms step_avg:39.93ms
step:89/1285 train_time:3544ms step_avg:39.82ms
step:90/1285 train_time:3580ms step_avg:39.78ms
step:91/1285 train_time:3612ms step_avg:39.70ms
step:92/1285 train_time:3645ms step_avg:39.62ms
step:93/1285 train_time:3676ms step_avg:39.53ms
step:94/1285 train_time:3712ms step_avg:39.49ms
step:95/1285 train_time:3745ms step_avg:39.42ms
step:96/1285 train_time:3782ms step_avg:39.39ms
step:97/1285 train_time:3815ms step_avg:39.33ms
step:98/1285 train_time:3855ms step_avg:39.33ms
step:99/1285 train_time:3888ms step_avg:39.27ms
step:100/1285 train_time:3924ms step_avg:39.24ms
step:101/1285 train_time:3958ms step_avg:39.19ms
step:102/1285 train_time:3995ms step_avg:39.17ms
step:103/1285 train_time:4027ms step_avg:39.10ms
step:104/1285 train_time:4064ms step_avg:39.08ms
step:105/1285 train_time:4096ms step_avg:39.01ms
step:106/1285 train_time:4132ms step_avg:38.98ms
step:107/1285 train_time:4164ms step_avg:38.92ms
step:108/1285 train_time:4201ms step_avg:38.89ms
step:109/1285 train_time:4234ms step_avg:38.85ms
step:110/1285 train_time:4272ms step_avg:38.84ms
step:111/1285 train_time:4303ms step_avg:38.77ms
step:112/1285 train_time:4343ms step_avg:38.77ms
step:113/1285 train_time:4376ms step_avg:38.72ms
step:114/1285 train_time:4412ms step_avg:38.70ms
step:115/1285 train_time:4444ms step_avg:38.65ms
step:116/1285 train_time:4480ms step_avg:38.62ms
step:117/1285 train_time:4514ms step_avg:38.58ms
step:118/1285 train_time:4549ms step_avg:38.55ms
step:119/1285 train_time:4586ms step_avg:38.54ms
step:120/1285 train_time:4623ms step_avg:38.53ms
step:121/1285 train_time:4655ms step_avg:38.47ms
step:122/1285 train_time:4692ms step_avg:38.46ms
step:123/1285 train_time:4725ms step_avg:38.42ms
step:124/1285 train_time:4763ms step_avg:38.41ms
step:125/1285 train_time:4796ms step_avg:38.37ms
step:126/1285 train_time:4830ms step_avg:38.34ms
step:127/1285 train_time:4864ms step_avg:38.30ms
step:128/1285 train_time:4899ms step_avg:38.27ms
step:129/1285 train_time:4931ms step_avg:38.23ms
step:130/1285 train_time:4969ms step_avg:38.22ms
step:131/1285 train_time:5001ms step_avg:38.17ms
step:132/1285 train_time:5037ms step_avg:38.16ms
step:133/1285 train_time:5070ms step_avg:38.12ms
step:134/1285 train_time:5105ms step_avg:38.09ms
step:135/1285 train_time:5137ms step_avg:38.05ms
step:136/1285 train_time:5175ms step_avg:38.05ms
step:137/1285 train_time:5206ms step_avg:38.00ms
step:138/1285 train_time:5239ms step_avg:37.97ms
step:139/1285 train_time:5273ms step_avg:37.94ms
step:140/1285 train_time:5309ms step_avg:37.92ms
step:141/1285 train_time:5340ms step_avg:37.87ms
step:142/1285 train_time:5379ms step_avg:37.88ms
step:143/1285 train_time:5413ms step_avg:37.85ms
step:144/1285 train_time:5451ms step_avg:37.85ms
step:145/1285 train_time:5486ms step_avg:37.84ms
step:146/1285 train_time:5524ms step_avg:37.83ms
step:147/1285 train_time:5557ms step_avg:37.80ms
step:148/1285 train_time:5595ms step_avg:37.80ms
step:149/1285 train_time:5626ms step_avg:37.76ms
step:150/1285 train_time:5662ms step_avg:37.75ms
step:151/1285 train_time:5696ms step_avg:37.72ms
step:152/1285 train_time:5732ms step_avg:37.71ms
step:153/1285 train_time:5762ms step_avg:37.66ms
step:154/1285 train_time:5801ms step_avg:37.67ms
step:155/1285 train_time:5832ms step_avg:37.62ms
step:156/1285 train_time:5867ms step_avg:37.61ms
step:157/1285 train_time:5897ms step_avg:37.56ms
step:158/1285 train_time:5931ms step_avg:37.54ms
step:159/1285 train_time:5962ms step_avg:37.50ms
step:160/1285 train_time:5997ms step_avg:37.48ms
step:161/1285 train_time:6029ms step_avg:37.45ms
step:162/1285 train_time:6062ms step_avg:37.42ms
step:163/1285 train_time:6093ms step_avg:37.38ms
step:164/1285 train_time:6132ms step_avg:37.39ms
step:165/1285 train_time:6163ms step_avg:37.35ms
step:166/1285 train_time:6199ms step_avg:37.34ms
step:167/1285 train_time:6231ms step_avg:37.31ms
step:168/1285 train_time:6269ms step_avg:37.31ms
step:169/1285 train_time:6299ms step_avg:37.27ms
step:170/1285 train_time:6335ms step_avg:37.26ms
step:171/1285 train_time:6366ms step_avg:37.23ms
step:172/1285 train_time:6402ms step_avg:37.22ms
step:173/1285 train_time:6435ms step_avg:37.20ms
step:174/1285 train_time:6470ms step_avg:37.18ms
step:175/1285 train_time:6503ms step_avg:37.16ms
step:176/1285 train_time:6539ms step_avg:37.15ms
step:177/1285 train_time:6572ms step_avg:37.13ms
step:178/1285 train_time:6608ms step_avg:37.12ms
step:179/1285 train_time:6642ms step_avg:37.11ms
step:180/1285 train_time:6678ms step_avg:37.10ms
step:181/1285 train_time:6712ms step_avg:37.08ms
step:182/1285 train_time:6746ms step_avg:37.06ms
step:183/1285 train_time:6780ms step_avg:37.05ms
step:184/1285 train_time:6818ms step_avg:37.05ms
step:185/1285 train_time:6852ms step_avg:37.04ms
step:186/1285 train_time:6889ms step_avg:37.04ms
step:187/1285 train_time:6920ms step_avg:37.01ms
step:188/1285 train_time:6955ms step_avg:37.00ms
step:189/1285 train_time:6989ms step_avg:36.98ms
step:190/1285 train_time:7025ms step_avg:36.97ms
step:191/1285 train_time:7057ms step_avg:36.95ms
step:192/1285 train_time:7095ms step_avg:36.95ms
step:193/1285 train_time:7128ms step_avg:36.93ms
step:194/1285 train_time:7162ms step_avg:36.92ms
step:195/1285 train_time:7192ms step_avg:36.88ms
step:196/1285 train_time:7230ms step_avg:36.89ms
step:197/1285 train_time:7262ms step_avg:36.86ms
step:198/1285 train_time:7296ms step_avg:36.85ms
step:199/1285 train_time:7329ms step_avg:36.83ms
step:200/1285 train_time:7366ms step_avg:36.83ms
step:201/1285 train_time:7401ms step_avg:36.82ms
step:202/1285 train_time:7436ms step_avg:36.81ms
step:203/1285 train_time:7468ms step_avg:36.79ms
step:204/1285 train_time:7504ms step_avg:36.79ms
step:205/1285 train_time:7537ms step_avg:36.77ms
step:206/1285 train_time:7573ms step_avg:36.76ms
step:207/1285 train_time:7606ms step_avg:36.74ms
step:208/1285 train_time:7643ms step_avg:36.74ms
step:209/1285 train_time:7673ms step_avg:36.71ms
step:210/1285 train_time:7710ms step_avg:36.71ms
step:211/1285 train_time:7743ms step_avg:36.70ms
step:212/1285 train_time:7780ms step_avg:36.70ms
step:213/1285 train_time:7814ms step_avg:36.68ms
step:214/1285 train_time:7855ms step_avg:36.71ms
step:215/1285 train_time:7889ms step_avg:36.69ms
step:216/1285 train_time:7926ms step_avg:36.70ms
step:217/1285 train_time:7958ms step_avg:36.67ms
step:218/1285 train_time:7997ms step_avg:36.68ms
step:219/1285 train_time:8030ms step_avg:36.67ms
step:220/1285 train_time:8067ms step_avg:36.67ms
step:221/1285 train_time:8103ms step_avg:36.66ms
step:222/1285 train_time:8140ms step_avg:36.67ms
step:223/1285 train_time:8173ms step_avg:36.65ms
step:224/1285 train_time:8211ms step_avg:36.66ms
step:225/1285 train_time:8242ms step_avg:36.63ms
step:226/1285 train_time:8278ms step_avg:36.63ms
step:227/1285 train_time:8309ms step_avg:36.61ms
step:228/1285 train_time:8346ms step_avg:36.60ms
step:229/1285 train_time:8379ms step_avg:36.59ms
step:230/1285 train_time:8415ms step_avg:36.59ms
step:231/1285 train_time:8448ms step_avg:36.57ms
step:232/1285 train_time:8486ms step_avg:36.58ms
step:233/1285 train_time:8518ms step_avg:36.56ms
step:234/1285 train_time:8555ms step_avg:36.56ms
step:235/1285 train_time:8588ms step_avg:36.55ms
step:236/1285 train_time:8625ms step_avg:36.55ms
step:237/1285 train_time:8658ms step_avg:36.53ms
step:238/1285 train_time:8695ms step_avg:36.53ms
step:239/1285 train_time:8727ms step_avg:36.51ms
step:240/1285 train_time:8762ms step_avg:36.51ms
step:241/1285 train_time:8795ms step_avg:36.49ms
step:242/1285 train_time:8834ms step_avg:36.50ms
step:243/1285 train_time:8867ms step_avg:36.49ms
step:244/1285 train_time:8903ms step_avg:36.49ms
step:245/1285 train_time:8937ms step_avg:36.48ms
step:246/1285 train_time:8975ms step_avg:36.48ms
step:247/1285 train_time:9008ms step_avg:36.47ms
step:248/1285 train_time:9045ms step_avg:36.47ms
step:249/1285 train_time:9078ms step_avg:36.46ms
step:250/1285 train_time:9112ms step_avg:36.45ms
step:250/1285 val_loss:4.48552561 train_time:9121ms step_avg:36.48ms
step:251/1285 train_time:9154ms step_avg:36.47ms
step:252/1285 train_time:9192ms step_avg:36.48ms
step:253/1285 train_time:9225ms step_avg:36.46ms
step:254/1285 train_time:9260ms step_avg:36.46ms
