HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to [Gloo] Rank 76 peer ranks.  is connected to 7Expected number of connected peer ranks is :  peer ranks. Expected number of connected peer ranks is : 77

[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 4 is connected to 77
 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/72c445ad-0854-493a-9b5c-b8d1a96cc47d.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82878304 train_time:64ms step_avg:64.42ms
step:1/1190 train_time:305ms step_avg:304.98ms
step:2/1190 train_time:344ms step_avg:171.99ms
step:3/1190 train_time:419ms step_avg:139.74ms
step:4/1190 train_time:473ms step_avg:118.14ms
step:5/1190 train_time:507ms step_avg:101.40ms
step:6/1190 train_time:553ms step_avg:92.19ms
step:7/1190 train_time:587ms step_avg:83.85ms
step:8/1190 train_time:633ms step_avg:79.16ms
step:9/1190 train_time:668ms step_avg:74.19ms
step:10/1190 train_time:714ms step_avg:71.40ms
step:11/1190 train_time:749ms step_avg:68.11ms
step:12/1190 train_time:796ms step_avg:66.35ms
step:13/1190 train_time:831ms step_avg:63.90ms
step:14/1190 train_time:876ms step_avg:62.60ms
step:15/1190 train_time:912ms step_avg:60.83ms
step:16/1190 train_time:958ms step_avg:59.89ms
step:17/1190 train_time:993ms step_avg:58.43ms
step:18/1190 train_time:1040ms step_avg:57.77ms
step:19/1190 train_time:1075ms step_avg:56.56ms
step:20/1190 train_time:1121ms step_avg:56.05ms
step:21/1190 train_time:1156ms step_avg:55.06ms
step:22/1190 train_time:1202ms step_avg:54.64ms
step:23/1190 train_time:1239ms step_avg:53.86ms
step:24/1190 train_time:1285ms step_avg:53.53ms
step:25/1190 train_time:1320ms step_avg:52.80ms
step:26/1190 train_time:1367ms step_avg:52.59ms
step:27/1190 train_time:1402ms step_avg:51.93ms
step:28/1190 train_time:1448ms step_avg:51.73ms
step:29/1190 train_time:1484ms step_avg:51.16ms
step:30/1190 train_time:1531ms step_avg:51.03ms
step:31/1190 train_time:1565ms step_avg:50.49ms
step:32/1190 train_time:1614ms step_avg:50.45ms
step:33/1190 train_time:1647ms step_avg:49.91ms
step:34/1190 train_time:1693ms step_avg:49.79ms
step:35/1190 train_time:1728ms step_avg:49.38ms
step:36/1190 train_time:1774ms step_avg:49.28ms
step:37/1190 train_time:1809ms step_avg:48.90ms
step:38/1190 train_time:1856ms step_avg:48.83ms
step:39/1190 train_time:1891ms step_avg:48.49ms
step:40/1190 train_time:1937ms step_avg:48.43ms
step:41/1190 train_time:1973ms step_avg:48.11ms
step:42/1190 train_time:2018ms step_avg:48.04ms
step:43/1190 train_time:2054ms step_avg:47.77ms
step:44/1190 train_time:2100ms step_avg:47.73ms
step:45/1190 train_time:2136ms step_avg:47.47ms
step:46/1190 train_time:2182ms step_avg:47.43ms
step:47/1190 train_time:2217ms step_avg:47.17ms
step:48/1190 train_time:2263ms step_avg:47.15ms
step:49/1190 train_time:2299ms step_avg:46.91ms
step:50/1190 train_time:2345ms step_avg:46.91ms
step:51/1190 train_time:2380ms step_avg:46.67ms
step:52/1190 train_time:2426ms step_avg:46.66ms
step:53/1190 train_time:2462ms step_avg:46.45ms
step:54/1190 train_time:2508ms step_avg:46.44ms
step:55/1190 train_time:2544ms step_avg:46.26ms
step:56/1190 train_time:2590ms step_avg:46.25ms
step:57/1190 train_time:2625ms step_avg:46.06ms
step:58/1190 train_time:2671ms step_avg:46.06ms
step:59/1190 train_time:2707ms step_avg:45.88ms
step:60/1190 train_time:2753ms step_avg:45.88ms
step:61/1190 train_time:2788ms step_avg:45.71ms
step:62/1190 train_time:2834ms step_avg:45.70ms
step:63/1190 train_time:2869ms step_avg:45.55ms
step:64/1190 train_time:2915ms step_avg:45.55ms
step:65/1190 train_time:2951ms step_avg:45.40ms
step:66/1190 train_time:2996ms step_avg:45.39ms
step:67/1190 train_time:3033ms step_avg:45.26ms
step:68/1190 train_time:3078ms step_avg:45.26ms
step:69/1190 train_time:3114ms step_avg:45.13ms
step:70/1190 train_time:3160ms step_avg:45.15ms
step:71/1190 train_time:3196ms step_avg:45.01ms
step:72/1190 train_time:3242ms step_avg:45.02ms
step:73/1190 train_time:3277ms step_avg:44.89ms
step:74/1190 train_time:3323ms step_avg:44.91ms
