HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank [Gloo] Rank 01 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to [Gloo] Rank 76 peer ranks. Expected number of connected peer ranks is :  is connected to 77
 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/9d2e0e78-b714-42a6-bb35-0e8662504d82.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82849503 train_time:62ms step_avg:61.52ms
step:1/1190 train_time:236ms step_avg:235.99ms
step:2/1190 train_time:295ms step_avg:147.59ms
step:3/1190 train_time:365ms step_avg:121.71ms
step:4/1190 train_time:401ms step_avg:100.20ms
step:5/1190 train_time:430ms step_avg:86.02ms
step:6/1190 train_time:464ms step_avg:77.32ms
step:7/1190 train_time:493ms step_avg:70.47ms
step:8/1190 train_time:539ms step_avg:67.36ms
step:9/1190 train_time:575ms step_avg:63.92ms
step:10/1190 train_time:621ms step_avg:62.11ms
step:11/1190 train_time:656ms step_avg:59.62ms
step:12/1190 train_time:702ms step_avg:58.51ms
step:13/1190 train_time:737ms step_avg:56.72ms
step:14/1190 train_time:784ms step_avg:56.03ms
step:15/1190 train_time:819ms step_avg:54.62ms
step:16/1190 train_time:865ms step_avg:54.03ms
step:17/1190 train_time:900ms step_avg:52.93ms
step:18/1190 train_time:946ms step_avg:52.53ms
step:19/1190 train_time:982ms step_avg:51.69ms
step:20/1190 train_time:1028ms step_avg:51.40ms
step:21/1190 train_time:1063ms step_avg:50.64ms
step:22/1190 train_time:1110ms step_avg:50.44ms
step:23/1190 train_time:1145ms step_avg:49.77ms
step:24/1190 train_time:1192ms step_avg:49.68ms
step:25/1190 train_time:1226ms step_avg:49.06ms
step:26/1190 train_time:1272ms step_avg:48.94ms
step:27/1190 train_time:1308ms step_avg:48.45ms
step:28/1190 train_time:1354ms step_avg:48.36ms
step:29/1190 train_time:1391ms step_avg:47.96ms
step:30/1190 train_time:1437ms step_avg:47.89ms
step:31/1190 train_time:1472ms step_avg:47.47ms
step:32/1190 train_time:1518ms step_avg:47.44ms
step:33/1190 train_time:1553ms step_avg:47.05ms
step:34/1190 train_time:1599ms step_avg:47.04ms
step:35/1190 train_time:1634ms step_avg:46.69ms
step:36/1190 train_time:1680ms step_avg:46.68ms
step:37/1190 train_time:1716ms step_avg:46.38ms
step:38/1190 train_time:1761ms step_avg:46.35ms
step:39/1190 train_time:1798ms step_avg:46.11ms
step:40/1190 train_time:1843ms step_avg:46.08ms
step:41/1190 train_time:1879ms step_avg:45.83ms
step:42/1190 train_time:1925ms step_avg:45.83ms
step:43/1190 train_time:1961ms step_avg:45.60ms
step:44/1190 train_time:2007ms step_avg:45.60ms
step:45/1190 train_time:2042ms step_avg:45.38ms
step:46/1190 train_time:2089ms step_avg:45.40ms
step:47/1190 train_time:2124ms step_avg:45.19ms
step:48/1190 train_time:2170ms step_avg:45.22ms
step:49/1190 train_time:2206ms step_avg:45.02ms
step:50/1190 train_time:2252ms step_avg:45.04ms
step:51/1190 train_time:2287ms step_avg:44.85ms
step:52/1190 train_time:2334ms step_avg:44.89ms
step:53/1190 train_time:2370ms step_avg:44.71ms
step:54/1190 train_time:2415ms step_avg:44.72ms
step:55/1190 train_time:2450ms step_avg:44.55ms
step:56/1190 train_time:2498ms step_avg:44.60ms
step:57/1190 train_time:2531ms step_avg:44.41ms
step:58/1190 train_time:2577ms step_avg:44.43ms
step:59/1190 train_time:2613ms step_avg:44.29ms
step:60/1190 train_time:2659ms step_avg:44.31ms
step:61/1190 train_time:2694ms step_avg:44.16ms
step:62/1190 train_time:2740ms step_avg:44.20ms
step:63/1190 train_time:2776ms step_avg:44.06ms
step:64/1190 train_time:2822ms step_avg:44.09ms
step:65/1190 train_time:2857ms step_avg:43.96ms
step:66/1190 train_time:2904ms step_avg:44.00ms
step:67/1190 train_time:2939ms step_avg:43.87ms
step:68/1190 train_time:2985ms step_avg:43.89ms
step:69/1190 train_time:3021ms step_avg:43.78ms
step:70/1190 train_time:3067ms step_avg:43.82ms
step:71/1190 train_time:3103ms step_avg:43.71ms
step:72/1190 train_time:3149ms step_avg:43.73ms
step:73/1190 train_time:3184ms step_avg:43.62ms
step:74/1190 train_time:3230ms step_avg:43.65ms
step:75/1190 train_time:3266ms step_avg:43.54ms
step:76/1190 train_time:3312ms step_avg:43.58ms
step:77/1190 train_time:3347ms step_avg:43.47ms
step:78/1190 train_time:3393ms step_avg:43.51ms
step:79/1190 train_time:3429ms step_avg:43.40ms
step:80/1190 train_time:3475ms step_avg:43.44ms
step:81/1190 train_time:3510ms step_avg:43.34ms
step:82/1190 train_time:3556ms step_avg:43.37ms
step:83/1190 train_time:3592ms step_avg:43.27ms
step:84/1190 train_time:3638ms step_avg:43.31ms
step:85/1190 train_time:3673ms step_avg:43.21ms
step:86/1190 train_time:3719ms step_avg:43.25ms
step:87/1190 train_time:3755ms step_avg:43.16ms
step:88/1190 train_time:3800ms step_avg:43.18ms
step:89/1190 train_time:3836ms step_avg:43.10ms
step:90/1190 train_time:3882ms step_avg:43.13ms
step:91/1190 train_time:3917ms step_avg:43.05ms
step:92/1190 train_time:3963ms step_avg:43.08ms
step:93/1190 train_time:3999ms step_avg:43.00ms
step:94/1190 train_time:4045ms step_avg:43.03ms
step:95/1190 train_time:4081ms step_avg:42.95ms
step:96/1190 train_time:4127ms step_avg:42.99ms
step:97/1190 train_time:4162ms step_avg:42.91ms
step:98/1190 train_time:4208ms step_avg:42.94ms
step:99/1190 train_time:4245ms step_avg:42.87ms
step:100/1190 train_time:4289ms step_avg:42.89ms
step:101/1190 train_time:4326ms step_avg:42.83ms
step:102/1190 train_time:4371ms step_avg:42.85ms
step:103/1190 train_time:4407ms step_avg:42.78ms
step:104/1190 train_time:4454ms step_avg:42.83ms
step:105/1190 train_time:4488ms step_avg:42.74ms
step:106/1190 train_time:4534ms step_avg:42.78ms
step:107/1190 train_time:4570ms step_avg:42.71ms
step:108/1190 train_time:4617ms step_avg:42.75ms
step:109/1190 train_time:4651ms step_avg:42.67ms
step:110/1190 train_time:4697ms step_avg:42.70ms
step:111/1190 train_time:4733ms step_avg:42.64ms
step:112/1190 train_time:4779ms step_avg:42.67ms
step:113/1190 train_time:4815ms step_avg:42.61ms
step:114/1190 train_time:4860ms step_avg:42.64ms
step:115/1190 train_time:4895ms step_avg:42.57ms
step:116/1190 train_time:4942ms step_avg:42.60ms
step:117/1190 train_time:4978ms step_avg:42.54ms
step:118/1190 train_time:5023ms step_avg:42.57ms
step:119/1190 train_time:5059ms step_avg:42.51ms
step:120/1190 train_time:5104ms step_avg:42.54ms
step:121/1190 train_time:5140ms step_avg:42.48ms
step:122/1190 train_time:5186ms step_avg:42.51ms
step:123/1190 train_time:5222ms step_avg:42.46ms
step:124/1190 train_time:5268ms step_avg:42.49ms
step:125/1190 train_time:5303ms step_avg:42.43ms
step:126/1190 train_time:5349ms step_avg:42.46ms
step:127/1190 train_time:5385ms step_avg:42.40ms
step:128/1190 train_time:5431ms step_avg:42.43ms
step:129/1190 train_time:5467ms step_avg:42.38ms
step:130/1190 train_time:5513ms step_avg:42.41ms
step:131/1190 train_time:5548ms step_avg:42.35ms
step:132/1190 train_time:5595ms step_avg:42.38ms
step:133/1190 train_time:5629ms step_avg:42.32ms
step:134/1190 train_time:5675ms step_avg:42.35ms
step:135/1190 train_time:5711ms step_avg:42.30ms
step:136/1190 train_time:5757ms step_avg:42.33ms
step:137/1190 train_time:5792ms step_avg:42.28ms
step:138/1190 train_time:5838ms step_avg:42.31ms
step:139/1190 train_time:5873ms step_avg:42.25ms
step:140/1190 train_time:5919ms step_avg:42.28ms
step:141/1190 train_time:5955ms step_avg:42.24ms
step:142/1190 train_time:6001ms step_avg:42.26ms
step:143/1190 train_time:6037ms step_avg:42.22ms
step:144/1190 train_time:6082ms step_avg:42.24ms
step:145/1190 train_time:6118ms step_avg:42.20ms
step:146/1190 train_time:6164ms step_avg:42.22ms
