HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 37 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 74 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 57 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/bad5e70e-5365-4e50-9167-5d223ee9fcdb.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83167934 train_time:59ms step_avg:58.58ms
step:1/1190 train_time:239ms step_avg:238.95ms
step:2/1190 train_time:350ms step_avg:175.22ms
step:3/1190 train_time:382ms step_avg:127.45ms
step:4/1190 train_time:427ms step_avg:106.63ms
step:5/1190 train_time:461ms step_avg:92.10ms
step:6/1190 train_time:508ms step_avg:84.69ms
step:7/1190 train_time:541ms step_avg:77.28ms
step:8/1190 train_time:587ms step_avg:73.35ms
step:9/1190 train_time:622ms step_avg:69.15ms
step:10/1190 train_time:668ms step_avg:66.76ms
step:11/1190 train_time:704ms step_avg:64.03ms
step:12/1190 train_time:749ms step_avg:62.46ms
step:13/1190 train_time:785ms step_avg:60.37ms
step:14/1190 train_time:831ms step_avg:59.33ms
step:15/1190 train_time:867ms step_avg:57.82ms
step:16/1190 train_time:914ms step_avg:57.15ms
step:17/1190 train_time:949ms step_avg:55.80ms
step:18/1190 train_time:995ms step_avg:55.29ms
step:19/1190 train_time:1030ms step_avg:54.20ms
step:20/1190 train_time:1077ms step_avg:53.83ms
step:21/1190 train_time:1112ms step_avg:52.95ms
step:22/1190 train_time:1159ms step_avg:52.69ms
step:23/1190 train_time:1193ms step_avg:51.88ms
step:24/1190 train_time:1240ms step_avg:51.67ms
step:25/1190 train_time:1276ms step_avg:51.02ms
step:26/1190 train_time:1322ms step_avg:50.85ms
step:27/1190 train_time:1357ms step_avg:50.27ms
step:28/1190 train_time:1403ms step_avg:50.09ms
step:29/1190 train_time:1439ms step_avg:49.61ms
step:30/1190 train_time:1485ms step_avg:49.52ms
step:31/1190 train_time:1521ms step_avg:49.06ms
step:32/1190 train_time:1566ms step_avg:48.95ms
step:33/1190 train_time:1602ms step_avg:48.53ms
step:34/1190 train_time:1648ms step_avg:48.47ms
step:35/1190 train_time:1683ms step_avg:48.09ms
step:36/1190 train_time:1729ms step_avg:48.02ms
step:37/1190 train_time:1765ms step_avg:47.69ms
step:38/1190 train_time:1811ms step_avg:47.66ms
step:39/1190 train_time:1846ms step_avg:47.34ms
step:40/1190 train_time:1892ms step_avg:47.30ms
step:41/1190 train_time:1928ms step_avg:47.02ms
step:42/1190 train_time:1975ms step_avg:47.01ms
step:43/1190 train_time:2010ms step_avg:46.74ms
step:44/1190 train_time:2056ms step_avg:46.73ms
step:45/1190 train_time:2091ms step_avg:46.48ms
step:46/1190 train_time:2137ms step_avg:46.47ms
step:47/1190 train_time:2173ms step_avg:46.24ms
step:48/1190 train_time:2219ms step_avg:46.24ms
step:49/1190 train_time:2255ms step_avg:46.02ms
step:50/1190 train_time:2302ms step_avg:46.04ms
step:51/1190 train_time:2336ms step_avg:45.81ms
step:52/1190 train_time:2382ms step_avg:45.81ms
step:53/1190 train_time:2418ms step_avg:45.63ms
step:54/1190 train_time:2465ms step_avg:45.64ms
step:55/1190 train_time:2500ms step_avg:45.45ms
step:56/1190 train_time:2545ms step_avg:45.45ms
step:57/1190 train_time:2581ms step_avg:45.28ms
