HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 7
4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 57
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/10202ab2-db14-4dad-9a01-ecae52caedf1.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82982254 train_time:59ms step_avg:59.41ms
step:1/1190 train_time:309ms step_avg:309.10ms
step:2/1190 train_time:427ms step_avg:213.64ms
step:3/1190 train_time:460ms step_avg:153.45ms
step:4/1190 train_time:498ms step_avg:124.56ms
step:5/1190 train_time:530ms step_avg:106.02ms
step:6/1190 train_time:565ms step_avg:94.09ms
step:7/1190 train_time:594ms step_avg:84.83ms
step:8/1190 train_time:639ms step_avg:79.90ms
step:9/1190 train_time:674ms step_avg:74.94ms
step:10/1190 train_time:720ms step_avg:72.00ms
step:11/1190 train_time:755ms step_avg:68.66ms
step:12/1190 train_time:802ms step_avg:66.86ms
step:13/1190 train_time:837ms step_avg:64.35ms
step:14/1190 train_time:883ms step_avg:63.07ms
step:15/1190 train_time:918ms step_avg:61.21ms
step:16/1190 train_time:964ms step_avg:60.26ms
step:17/1190 train_time:1000ms step_avg:58.83ms
step:18/1190 train_time:1046ms step_avg:58.13ms
step:19/1190 train_time:1082ms step_avg:56.93ms
step:20/1190 train_time:1127ms step_avg:56.37ms
step:21/1190 train_time:1164ms step_avg:55.41ms
step:22/1190 train_time:1211ms step_avg:55.03ms
step:23/1190 train_time:1245ms step_avg:54.15ms
step:24/1190 train_time:1292ms step_avg:53.85ms
step:25/1190 train_time:1328ms step_avg:53.12ms
step:26/1190 train_time:1374ms step_avg:52.83ms
step:27/1190 train_time:1409ms step_avg:52.19ms
step:28/1190 train_time:1456ms step_avg:52.00ms
step:29/1190 train_time:1491ms step_avg:51.40ms
step:30/1190 train_time:1537ms step_avg:51.22ms
step:31/1190 train_time:1572ms step_avg:50.71ms
step:32/1190 train_time:1618ms step_avg:50.56ms
step:33/1190 train_time:1654ms step_avg:50.11ms
step:34/1190 train_time:1700ms step_avg:50.01ms
step:35/1190 train_time:1735ms step_avg:49.58ms
step:36/1190 train_time:1781ms step_avg:49.47ms
step:37/1190 train_time:1817ms step_avg:49.11ms
step:38/1190 train_time:1862ms step_avg:49.01ms
step:39/1190 train_time:1898ms step_avg:48.68ms
step:40/1190 train_time:1944ms step_avg:48.61ms
step:41/1190 train_time:1980ms step_avg:48.30ms
step:42/1190 train_time:2027ms step_avg:48.26ms
step:43/1190 train_time:2062ms step_avg:47.96ms
step:44/1190 train_time:2108ms step_avg:47.91ms
step:45/1190 train_time:2144ms step_avg:47.64ms
step:46/1190 train_time:2191ms step_avg:47.62ms
step:47/1190 train_time:2226ms step_avg:47.35ms
step:48/1190 train_time:2272ms step_avg:47.33ms
step:49/1190 train_time:2307ms step_avg:47.09ms
step:50/1190 train_time:2355ms step_avg:47.09ms
step:51/1190 train_time:2389ms step_avg:46.84ms
step:52/1190 train_time:2435ms step_avg:46.83ms
step:53/1190 train_time:2471ms step_avg:46.61ms
step:54/1190 train_time:2516ms step_avg:46.60ms
step:55/1190 train_time:2552ms step_avg:46.40ms
step:56/1190 train_time:2598ms step_avg:46.40ms
step:57/1190 train_time:2635ms step_avg:46.22ms
