HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7[Gloo] Rank 7 peer ranks. Expected number of connected peer ranks is :  is connected to 77 peer ranks. 
Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/851e55f6-5309-4e96-ae31-508e6ec77a44.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83176327 train_time:56ms step_avg:55.74ms
step:1/1190 train_time:314ms step_avg:314.15ms
step:2/1190 train_time:354ms step_avg:177.18ms
step:3/1190 train_time:386ms step_avg:128.72ms
step:4/1190 train_time:424ms step_avg:105.91ms
step:5/1190 train_time:454ms step_avg:90.87ms
step:6/1190 train_time:489ms step_avg:81.57ms
step:7/1190 train_time:525ms step_avg:74.94ms
step:8/1190 train_time:571ms step_avg:71.38ms
step:9/1190 train_time:606ms step_avg:67.28ms
step:10/1190 train_time:651ms step_avg:65.11ms
step:11/1190 train_time:687ms step_avg:62.45ms
step:12/1190 train_time:734ms step_avg:61.16ms
step:13/1190 train_time:769ms step_avg:59.15ms
step:14/1190 train_time:817ms step_avg:58.32ms
step:15/1190 train_time:850ms step_avg:56.69ms
step:16/1190 train_time:897ms step_avg:56.08ms
step:17/1190 train_time:932ms step_avg:54.82ms
step:18/1190 train_time:979ms step_avg:54.37ms
step:19/1190 train_time:1013ms step_avg:53.33ms
step:20/1190 train_time:1059ms step_avg:52.97ms
step:21/1190 train_time:1094ms step_avg:52.11ms
step:22/1190 train_time:1140ms step_avg:51.84ms
step:23/1190 train_time:1176ms step_avg:51.15ms
step:24/1190 train_time:1223ms step_avg:50.94ms
step:25/1190 train_time:1257ms step_avg:50.29ms
step:26/1190 train_time:1304ms step_avg:50.16ms
step:27/1190 train_time:1339ms step_avg:49.59ms
step:28/1190 train_time:1385ms step_avg:49.46ms
step:29/1190 train_time:1421ms step_avg:49.00ms
step:30/1190 train_time:1466ms step_avg:48.86ms
step:31/1190 train_time:1502ms step_avg:48.44ms
step:32/1190 train_time:1548ms step_avg:48.39ms
step:33/1190 train_time:1584ms step_avg:47.99ms
step:34/1190 train_time:1630ms step_avg:47.94ms
step:35/1190 train_time:1665ms step_avg:47.58ms
step:36/1190 train_time:1711ms step_avg:47.54ms
step:37/1190 train_time:1747ms step_avg:47.22ms
step:38/1190 train_time:1793ms step_avg:47.19ms
step:39/1190 train_time:1829ms step_avg:46.89ms
step:40/1190 train_time:1875ms step_avg:46.88ms
step:41/1190 train_time:1911ms step_avg:46.60ms
step:42/1190 train_time:1957ms step_avg:46.60ms
step:43/1190 train_time:1992ms step_avg:46.32ms
step:44/1190 train_time:2038ms step_avg:46.32ms
step:45/1190 train_time:2074ms step_avg:46.09ms
step:46/1190 train_time:2120ms step_avg:46.08ms
step:47/1190 train_time:2155ms step_avg:45.86ms
step:48/1190 train_time:2201ms step_avg:45.86ms
step:49/1190 train_time:2237ms step_avg:45.65ms
step:50/1190 train_time:2282ms step_avg:45.64ms
step:51/1190 train_time:2318ms step_avg:45.44ms
step:52/1190 train_time:2364ms step_avg:45.46ms
step:53/1190 train_time:2399ms step_avg:45.27ms
step:54/1190 train_time:2445ms step_avg:45.28ms
step:55/1190 train_time:2481ms step_avg:45.10ms
step:56/1190 train_time:2527ms step_avg:45.12ms
step:57/1190 train_time:2562ms step_avg:44.95ms
