HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5[Gloo] Rank  is connected to 73 peer ranks.  is connected to Expected number of connected peer ranks is : 77 peer ranks. Expected number of connected peer ranks is : 
7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/8ae6842e-aa9c-48bc-ba1c-64e1e33729c4.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.83404160 train_time:53ms step_avg:52.79ms
step:1/1190 train_time:322ms step_avg:322.02ms
step:2/1190 train_time:401ms step_avg:200.65ms
step:3/1190 train_time:434ms step_avg:144.68ms
step:4/1190 train_time:469ms step_avg:117.21ms
step:5/1190 train_time:498ms step_avg:99.53ms
step:6/1190 train_time:530ms step_avg:88.41ms
step:7/1190 train_time:565ms step_avg:80.69ms
step:8/1190 train_time:611ms step_avg:76.35ms
step:9/1190 train_time:646ms step_avg:71.76ms
step:10/1190 train_time:693ms step_avg:69.35ms
step:11/1190 train_time:728ms step_avg:66.16ms
step:12/1190 train_time:774ms step_avg:64.53ms
step:13/1190 train_time:809ms step_avg:62.24ms
step:14/1190 train_time:855ms step_avg:61.07ms
step:15/1190 train_time:891ms step_avg:59.37ms
step:16/1190 train_time:938ms step_avg:58.62ms
step:17/1190 train_time:973ms step_avg:57.21ms
step:18/1190 train_time:1020ms step_avg:56.66ms
step:19/1190 train_time:1054ms step_avg:55.48ms
step:20/1190 train_time:1101ms step_avg:55.04ms
step:21/1190 train_time:1136ms step_avg:54.09ms
step:22/1190 train_time:1182ms step_avg:53.73ms
step:23/1190 train_time:1217ms step_avg:52.93ms
step:24/1190 train_time:1263ms step_avg:52.62ms
step:25/1190 train_time:1299ms step_avg:51.97ms
step:26/1190 train_time:1345ms step_avg:51.75ms
step:27/1190 train_time:1382ms step_avg:51.18ms
step:28/1190 train_time:1427ms step_avg:50.97ms
step:29/1190 train_time:1463ms step_avg:50.44ms
step:30/1190 train_time:1508ms step_avg:50.28ms
step:31/1190 train_time:1545ms step_avg:49.82ms
step:32/1190 train_time:1592ms step_avg:49.75ms
step:33/1190 train_time:1627ms step_avg:49.29ms
step:34/1190 train_time:1673ms step_avg:49.21ms
step:35/1190 train_time:1708ms step_avg:48.79ms
step:36/1190 train_time:1754ms step_avg:48.74ms
step:37/1190 train_time:1790ms step_avg:48.37ms
step:38/1190 train_time:1835ms step_avg:48.30ms
step:39/1190 train_time:1872ms step_avg:47.99ms
step:40/1190 train_time:1917ms step_avg:47.91ms
step:41/1190 train_time:1954ms step_avg:47.65ms
step:42/1190 train_time:2000ms step_avg:47.61ms
step:43/1190 train_time:2035ms step_avg:47.33ms
step:44/1190 train_time:2081ms step_avg:47.29ms
step:45/1190 train_time:2117ms step_avg:47.04ms
step:46/1190 train_time:2164ms step_avg:47.04ms
step:47/1190 train_time:2199ms step_avg:46.78ms
step:48/1190 train_time:2245ms step_avg:46.77ms
step:49/1190 train_time:2280ms step_avg:46.54ms
step:50/1190 train_time:2328ms step_avg:46.56ms
step:51/1190 train_time:2362ms step_avg:46.32ms
step:52/1190 train_time:2410ms step_avg:46.34ms
step:53/1190 train_time:2444ms step_avg:46.11ms
step:54/1190 train_time:2490ms step_avg:46.11ms
step:55/1190 train_time:2526ms step_avg:45.93ms
step:56/1190 train_time:2572ms step_avg:45.93ms
step:57/1190 train_time:2607ms step_avg:45.74ms
