HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4[Gloo] Rank  is connected to 3 is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 76 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : 7

/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/94b1dcaf-40f7-41f7-b057-d9d28df9299b.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82931232 train_time:69ms step_avg:68.82ms
step:1/1190 train_time:426ms step_avg:425.61ms
step:2/1190 train_time:514ms step_avg:256.96ms
step:3/1190 train_time:547ms step_avg:182.19ms
step:4/1190 train_time:581ms step_avg:145.22ms
step:5/1190 train_time:611ms step_avg:122.27ms
step:6/1190 train_time:648ms step_avg:108.05ms
step:7/1190 train_time:683ms step_avg:97.57ms
step:8/1190 train_time:730ms step_avg:91.20ms
step:9/1190 train_time:764ms step_avg:84.88ms
step:10/1190 train_time:811ms step_avg:81.06ms
step:11/1190 train_time:845ms step_avg:76.82ms
step:12/1190 train_time:891ms step_avg:74.26ms
step:13/1190 train_time:927ms step_avg:71.28ms
step:14/1190 train_time:975ms step_avg:69.63ms
step:15/1190 train_time:1009ms step_avg:67.25ms
step:16/1190 train_time:1054ms step_avg:65.90ms
step:17/1190 train_time:1090ms step_avg:64.11ms
step:18/1190 train_time:1137ms step_avg:63.15ms
step:19/1190 train_time:1171ms step_avg:61.65ms
step:20/1190 train_time:1217ms step_avg:60.87ms
step:21/1190 train_time:1253ms step_avg:59.67ms
step:22/1190 train_time:1299ms step_avg:59.04ms
step:23/1190 train_time:1335ms step_avg:58.04ms
step:24/1190 train_time:1383ms step_avg:57.61ms
step:25/1190 train_time:1416ms step_avg:56.65ms
step:26/1190 train_time:1463ms step_avg:56.26ms
step:27/1190 train_time:1499ms step_avg:55.52ms
step:28/1190 train_time:1544ms step_avg:55.16ms
step:29/1190 train_time:1581ms step_avg:54.52ms
step:30/1190 train_time:1626ms step_avg:54.21ms
step:31/1190 train_time:1661ms step_avg:53.59ms
step:32/1190 train_time:1707ms step_avg:53.36ms
step:33/1190 train_time:1744ms step_avg:52.84ms
step:34/1190 train_time:1790ms step_avg:52.64ms
step:35/1190 train_time:1825ms step_avg:52.13ms
step:36/1190 train_time:1870ms step_avg:51.95ms
step:37/1190 train_time:1906ms step_avg:51.52ms
step:38/1190 train_time:1952ms step_avg:51.37ms
step:39/1190 train_time:1988ms step_avg:50.97ms
step:40/1190 train_time:2034ms step_avg:50.84ms
step:41/1190 train_time:2069ms step_avg:50.47ms
step:42/1190 train_time:2114ms step_avg:50.34ms
step:43/1190 train_time:2150ms step_avg:50.00ms
step:44/1190 train_time:2196ms step_avg:49.91ms
step:45/1190 train_time:2232ms step_avg:49.59ms
step:46/1190 train_time:2277ms step_avg:49.51ms
step:47/1190 train_time:2314ms step_avg:49.23ms
step:48/1190 train_time:2360ms step_avg:49.16ms
step:49/1190 train_time:2395ms step_avg:48.88ms
step:50/1190 train_time:2440ms step_avg:48.81ms
step:51/1190 train_time:2477ms step_avg:48.56ms
step:52/1190 train_time:2523ms step_avg:48.53ms
step:53/1190 train_time:2558ms step_avg:48.27ms
step:54/1190 train_time:2605ms step_avg:48.25ms
step:55/1190 train_time:2641ms step_avg:48.01ms
step:56/1190 train_time:2688ms step_avg:48.00ms
step:57/1190 train_time:2722ms step_avg:47.75ms
step:58/1190 train_time:2769ms step_avg:47.73ms
step:59/1190 train_time:2804ms step_avg:47.52ms
step:60/1190 train_time:2851ms step_avg:47.51ms
step:61/1190 train_time:2885ms step_avg:47.30ms
step:62/1190 train_time:2932ms step_avg:47.29ms
step:63/1190 train_time:2966ms step_avg:47.09ms
step:64/1190 train_time:3013ms step_avg:47.08ms
step:65/1190 train_time:3048ms step_avg:46.89ms
step:66/1190 train_time:3095ms step_avg:46.90ms
step:67/1190 train_time:3129ms step_avg:46.70ms
step:68/1190 train_time:3175ms step_avg:46.69ms
step:69/1190 train_time:3211ms step_avg:46.54ms
step:70/1190 train_time:3257ms step_avg:46.52ms
step:71/1190 train_time:3293ms step_avg:46.38ms
step:72/1190 train_time:3339ms step_avg:46.37ms
step:73/1190 train_time:3374ms step_avg:46.22ms
step:74/1190 train_time:3421ms step_avg:46.23ms
step:75/1190 train_time:3455ms step_avg:46.07ms
step:76/1190 train_time:3504ms step_avg:46.11ms
step:77/1190 train_time:3537ms step_avg:45.93ms
step:78/1190 train_time:3583ms step_avg:45.94ms
step:79/1190 train_time:3618ms step_avg:45.80ms
step:80/1190 train_time:3666ms step_avg:45.83ms
step:81/1190 train_time:3701ms step_avg:45.69ms
step:82/1190 train_time:3747ms step_avg:45.69ms
step:83/1190 train_time:3782ms step_avg:45.56ms
step:84/1190 train_time:3829ms step_avg:45.58ms
step:85/1190 train_time:3863ms step_avg:45.45ms
step:86/1190 train_time:3911ms step_avg:45.47ms
step:87/1190 train_time:3945ms step_avg:45.34ms
step:88/1190 train_time:3991ms step_avg:45.35ms
step:89/1190 train_time:4027ms step_avg:45.25ms
step:90/1190 train_time:4073ms step_avg:45.25ms
step:91/1190 train_time:4108ms step_avg:45.14ms
step:92/1190 train_time:4154ms step_avg:45.15ms
step:93/1190 train_time:4189ms step_avg:45.05ms
step:94/1190 train_time:4235ms step_avg:45.06ms
step:95/1190 train_time:4271ms step_avg:44.96ms
step:96/1190 train_time:4317ms step_avg:44.97ms
step:97/1190 train_time:4353ms step_avg:44.88ms
step:98/1190 train_time:4399ms step_avg:44.89ms
step:99/1190 train_time:4435ms step_avg:44.79ms
step:100/1190 train_time:4480ms step_avg:44.80ms
step:101/1190 train_time:4516ms step_avg:44.72ms
step:102/1190 train_time:4563ms step_avg:44.74ms
step:103/1190 train_time:4598ms step_avg:44.64ms
step:104/1190 train_time:4645ms step_avg:44.66ms
step:105/1190 train_time:4679ms step_avg:44.57ms
step:106/1190 train_time:4726ms step_avg:44.59ms
step:107/1190 train_time:4761ms step_avg:44.50ms
step:108/1190 train_time:4808ms step_avg:44.52ms
step:109/1190 train_time:4843ms step_avg:44.43ms
step:110/1190 train_time:4890ms step_avg:44.45ms
step:111/1190 train_time:4925ms step_avg:44.37ms
step:112/1190 train_time:4970ms step_avg:44.38ms
step:113/1190 train_time:5006ms step_avg:44.30ms
step:114/1190 train_time:5052ms step_avg:44.31ms
step:115/1190 train_time:5087ms step_avg:44.24ms
step:116/1190 train_time:5133ms step_avg:44.25ms
step:117/1190 train_time:5169ms step_avg:44.18ms
step:118/1190 train_time:5215ms step_avg:44.19ms
step:119/1190 train_time:5250ms step_avg:44.12ms
step:120/1190 train_time:5296ms step_avg:44.14ms
step:121/1190 train_time:5332ms step_avg:44.06ms
step:122/1190 train_time:5378ms step_avg:44.08ms
step:123/1190 train_time:5414ms step_avg:44.01ms
step:124/1190 train_time:5460ms step_avg:44.03ms
step:125/1190 train_time:5495ms step_avg:43.96ms
