HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank [Gloo] Rank 20 is connected to  is connected to 77 peer ranks. Expected number of connected peer ranks is :  peer ranks. Expected number of connected peer ranks is : 77

[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1084: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/c2badcea-4110-49cb-80c0-ede967a7edd8.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 281, 282, 283, 284, 705, 706, 707, 708, 1128, 1129, 1130, 1131] for warmup
Resetting Model
step:0/1190 val_loss:10.82645416 train_time:53ms step_avg:52.89ms
step:1/1190 train_time:164ms step_avg:164.21ms
step:2/1190 train_time:239ms step_avg:119.43ms
step:3/1190 train_time:274ms step_avg:91.45ms
step:4/1190 train_time:313ms step_avg:78.27ms
step:5/1190 train_time:345ms step_avg:68.92ms
step:6/1190 train_time:382ms step_avg:63.63ms
step:7/1190 train_time:413ms step_avg:58.99ms
step:8/1190 train_time:459ms step_avg:57.43ms
step:9/1190 train_time:495ms step_avg:54.97ms
step:10/1190 train_time:542ms step_avg:54.24ms
step:11/1190 train_time:576ms step_avg:52.38ms
step:12/1190 train_time:624ms step_avg:52.00ms
step:13/1190 train_time:658ms step_avg:50.59ms
step:14/1190 train_time:705ms step_avg:50.33ms
step:15/1190 train_time:739ms step_avg:49.30ms
step:16/1190 train_time:786ms step_avg:49.12ms
step:17/1190 train_time:821ms step_avg:48.29ms
step:18/1190 train_time:868ms step_avg:48.20ms
step:19/1190 train_time:902ms step_avg:47.49ms
step:20/1190 train_time:950ms step_avg:47.49ms
step:21/1190 train_time:985ms step_avg:46.88ms
step:22/1190 train_time:1031ms step_avg:46.85ms
step:23/1190 train_time:1067ms step_avg:46.38ms
step:24/1190 train_time:1112ms step_avg:46.34ms
step:25/1190 train_time:1148ms step_avg:45.91ms
step:26/1190 train_time:1195ms step_avg:45.98ms
step:27/1190 train_time:1230ms step_avg:45.55ms
step:28/1190 train_time:1276ms step_avg:45.58ms
step:29/1190 train_time:1312ms step_avg:45.24ms
step:30/1190 train_time:1358ms step_avg:45.25ms
step:31/1190 train_time:1394ms step_avg:44.97ms
step:32/1190 train_time:1441ms step_avg:45.02ms
step:33/1190 train_time:1475ms step_avg:44.70ms
step:34/1190 train_time:1522ms step_avg:44.77ms
step:35/1190 train_time:1557ms step_avg:44.48ms
step:36/1190 train_time:1605ms step_avg:44.57ms
step:37/1190 train_time:1638ms step_avg:44.28ms
step:38/1190 train_time:1684ms step_avg:44.32ms
step:39/1190 train_time:1720ms step_avg:44.10ms
step:40/1190 train_time:1766ms step_avg:44.16ms
step:41/1190 train_time:1802ms step_avg:43.96ms
step:42/1190 train_time:1848ms step_avg:44.00ms
step:43/1190 train_time:1884ms step_avg:43.80ms
step:44/1190 train_time:1930ms step_avg:43.86ms
step:45/1190 train_time:1965ms step_avg:43.67ms
step:46/1190 train_time:2012ms step_avg:43.75ms
step:47/1190 train_time:2047ms step_avg:43.56ms
step:48/1190 train_time:2093ms step_avg:43.60ms
step:49/1190 train_time:2129ms step_avg:43.45ms
step:50/1190 train_time:2175ms step_avg:43.50ms
step:51/1190 train_time:2211ms step_avg:43.35ms
step:52/1190 train_time:2257ms step_avg:43.41ms
step:53/1190 train_time:2293ms step_avg:43.26ms
step:54/1190 train_time:2339ms step_avg:43.32ms
step:55/1190 train_time:2374ms step_avg:43.17ms
step:56/1190 train_time:2421ms step_avg:43.23ms
step:57/1190 train_time:2456ms step_avg:43.09ms
