HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 65 is connected to  is connected to [Gloo] Rank 774 is connected to  peer ranks.  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : 7

7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/02a59ed7-ab32-4b00-961a-d47c4f7dee03.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82912827 train_time:55ms step_avg:54.72ms
step:1/1285 train_time:390ms step_avg:390.00ms
step:2/1285 train_time:438ms step_avg:219.04ms
step:3/1285 train_time:475ms step_avg:158.31ms
step:4/1285 train_time:517ms step_avg:129.18ms
step:5/1285 train_time:554ms step_avg:110.85ms
step:6/1285 train_time:594ms step_avg:99.00ms
step:7/1285 train_time:629ms step_avg:89.83ms
step:8/1285 train_time:670ms step_avg:83.70ms
step:9/1285 train_time:701ms step_avg:77.89ms
step:10/1285 train_time:740ms step_avg:74.05ms
step:11/1285 train_time:774ms step_avg:70.39ms
step:12/1285 train_time:810ms step_avg:67.53ms
step:13/1285 train_time:844ms step_avg:64.91ms
step:14/1285 train_time:880ms step_avg:62.86ms
step:15/1285 train_time:913ms step_avg:60.89ms
step:16/1285 train_time:951ms step_avg:59.46ms
step:17/1285 train_time:984ms step_avg:57.90ms
step:18/1285 train_time:1021ms step_avg:56.71ms
step:19/1285 train_time:1054ms step_avg:55.46ms
step:20/1285 train_time:1085ms step_avg:54.25ms
step:21/1285 train_time:1116ms step_avg:53.17ms
step:22/1285 train_time:1155ms step_avg:52.52ms
step:23/1285 train_time:1186ms step_avg:51.54ms
step:24/1285 train_time:1219ms step_avg:50.81ms
step:25/1285 train_time:1253ms step_avg:50.12ms
step:26/1285 train_time:1289ms step_avg:49.59ms
step:27/1285 train_time:1321ms step_avg:48.93ms
step:28/1285 train_time:1359ms step_avg:48.54ms
step:29/1285 train_time:1392ms step_avg:48.01ms
step:30/1285 train_time:1429ms step_avg:47.62ms
step:31/1285 train_time:1461ms step_avg:47.12ms
step:32/1285 train_time:1495ms step_avg:46.71ms
step:33/1285 train_time:1526ms step_avg:46.24ms
step:34/1285 train_time:1563ms step_avg:45.97ms
step:35/1285 train_time:1594ms step_avg:45.55ms
step:36/1285 train_time:1630ms step_avg:45.27ms
step:37/1285 train_time:1662ms step_avg:44.92ms
step:38/1285 train_time:1701ms step_avg:44.76ms
step:39/1285 train_time:1734ms step_avg:44.45ms
step:40/1285 train_time:1771ms step_avg:44.28ms
step:41/1285 train_time:1802ms step_avg:43.96ms
step:42/1285 train_time:1836ms step_avg:43.71ms
step:43/1285 train_time:1868ms step_avg:43.44ms
step:44/1285 train_time:1901ms step_avg:43.20ms
step:45/1285 train_time:1933ms step_avg:42.95ms
step:46/1285 train_time:1969ms step_avg:42.80ms
step:47/1285 train_time:2002ms step_avg:42.61ms
step:48/1285 train_time:2037ms step_avg:42.44ms
step:49/1285 train_time:2071ms step_avg:42.26ms
step:50/1285 train_time:2109ms step_avg:42.17ms
step:51/1285 train_time:2140ms step_avg:41.96ms
step:52/1285 train_time:2178ms step_avg:41.89ms
step:53/1285 train_time:2209ms step_avg:41.68ms
step:54/1285 train_time:2244ms step_avg:41.56ms
step:55/1285 train_time:2276ms step_avg:41.39ms
step:56/1285 train_time:2312ms step_avg:41.29ms
step:57/1285 train_time:2344ms step_avg:41.11ms
