HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 67 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/74461c39-0df8-4845-ab24-735c89dce457.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82895565 train_time:67ms step_avg:66.97ms
step:1/1285 train_time:294ms step_avg:293.74ms
step:2/1285 train_time:386ms step_avg:192.93ms
step:3/1285 train_time:425ms step_avg:141.70ms
step:4/1285 train_time:467ms step_avg:116.82ms
step:5/1285 train_time:504ms step_avg:100.84ms
step:6/1285 train_time:544ms step_avg:90.66ms
step:7/1285 train_time:579ms step_avg:82.73ms
step:8/1285 train_time:619ms step_avg:77.35ms
step:9/1285 train_time:653ms step_avg:72.56ms
step:10/1285 train_time:692ms step_avg:69.25ms
step:11/1285 train_time:725ms step_avg:65.95ms
step:12/1285 train_time:767ms step_avg:63.91ms
step:13/1285 train_time:801ms step_avg:61.62ms
step:14/1285 train_time:839ms step_avg:59.92ms
step:15/1285 train_time:869ms step_avg:57.95ms
step:16/1285 train_time:906ms step_avg:56.61ms
step:17/1285 train_time:939ms step_avg:55.22ms
step:18/1285 train_time:977ms step_avg:54.30ms
step:19/1285 train_time:1012ms step_avg:53.24ms
step:20/1285 train_time:1047ms step_avg:52.34ms
step:21/1285 train_time:1080ms step_avg:51.45ms
step:22/1285 train_time:1120ms step_avg:50.92ms
step:23/1285 train_time:1155ms step_avg:50.21ms
step:24/1285 train_time:1192ms step_avg:49.68ms
step:25/1285 train_time:1226ms step_avg:49.05ms
step:26/1285 train_time:1263ms step_avg:48.57ms
step:27/1285 train_time:1294ms step_avg:47.92ms
step:28/1285 train_time:1333ms step_avg:47.60ms
step:29/1285 train_time:1364ms step_avg:47.02ms
step:30/1285 train_time:1399ms step_avg:46.63ms
step:31/1285 train_time:1429ms step_avg:46.09ms
step:32/1285 train_time:1463ms step_avg:45.72ms
step:33/1285 train_time:1496ms step_avg:45.33ms
step:34/1285 train_time:1528ms step_avg:44.95ms
step:35/1285 train_time:1559ms step_avg:44.53ms
step:36/1285 train_time:1591ms step_avg:44.18ms
step:37/1285 train_time:1623ms step_avg:43.87ms
step:38/1285 train_time:1657ms step_avg:43.61ms
step:39/1285 train_time:1691ms step_avg:43.37ms
step:40/1285 train_time:1729ms step_avg:43.24ms
step:41/1285 train_time:1762ms step_avg:42.97ms
step:42/1285 train_time:1799ms step_avg:42.82ms
step:43/1285 train_time:1831ms step_avg:42.59ms
step:44/1285 train_time:1868ms step_avg:42.45ms
step:45/1285 train_time:1900ms step_avg:42.23ms
step:46/1285 train_time:1934ms step_avg:42.04ms
step:47/1285 train_time:1965ms step_avg:41.80ms
step:48/1285 train_time:1997ms step_avg:41.60ms
step:49/1285 train_time:2028ms step_avg:41.39ms
step:50/1285 train_time:2064ms step_avg:41.28ms
step:51/1285 train_time:2097ms step_avg:41.13ms
step:52/1285 train_time:2131ms step_avg:40.97ms
step:53/1285 train_time:2161ms step_avg:40.78ms
step:54/1285 train_time:2198ms step_avg:40.71ms
step:55/1285 train_time:2231ms step_avg:40.56ms
step:56/1285 train_time:2267ms step_avg:40.49ms
step:57/1285 train_time:2300ms step_avg:40.34ms
step:58/1285 train_time:2334ms step_avg:40.23ms
step:59/1285 train_time:2363ms step_avg:40.05ms
step:60/1285 train_time:2396ms step_avg:39.94ms
step:61/1285 train_time:2428ms step_avg:39.80ms
step:62/1285 train_time:2464ms step_avg:39.74ms
step:63/1285 train_time:2497ms step_avg:39.63ms
step:64/1285 train_time:2533ms step_avg:39.58ms
step:65/1285 train_time:2566ms step_avg:39.48ms
step:66/1285 train_time:2603ms step_avg:39.43ms
step:67/1285 train_time:2636ms step_avg:39.34ms
step:68/1285 train_time:2672ms step_avg:39.30ms
step:69/1285 train_time:2706ms step_avg:39.22ms
step:70/1285 train_time:2739ms step_avg:39.13ms
step:71/1285 train_time:2768ms step_avg:38.99ms
step:72/1285 train_time:2802ms step_avg:38.92ms
step:73/1285 train_time:2837ms step_avg:38.86ms
step:74/1285 train_time:2874ms step_avg:38.84ms
step:75/1285 train_time:2910ms step_avg:38.80ms
step:76/1285 train_time:2943ms step_avg:38.72ms
step:77/1285 train_time:2975ms step_avg:38.64ms
step:78/1285 train_time:3013ms step_avg:38.63ms
step:79/1285 train_time:3041ms step_avg:38.49ms
step:80/1285 train_time:3082ms step_avg:38.52ms
step:81/1285 train_time:3115ms step_avg:38.46ms
