HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 2[Gloo] Rank  is connected to 07 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. Expected number of connected peer ranks is : 77

[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7[Gloo] Rank  is connected to 67 is connected to 7 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/e625561c-667e-47ff-b313-b8f005f47083.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83168030 train_time:55ms step_avg:55.19ms
step:1/1285 train_time:259ms step_avg:258.79ms
step:2/1285 train_time:431ms step_avg:215.74ms
step:3/1285 train_time:472ms step_avg:157.37ms
step:4/1285 train_time:520ms step_avg:130.04ms
step:5/1285 train_time:559ms step_avg:111.73ms
step:6/1285 train_time:600ms step_avg:100.03ms
step:7/1285 train_time:634ms step_avg:90.63ms
step:8/1285 train_time:673ms step_avg:84.07ms
step:9/1285 train_time:705ms step_avg:78.34ms
step:10/1285 train_time:743ms step_avg:74.34ms
step:11/1285 train_time:778ms step_avg:70.68ms
step:12/1285 train_time:815ms step_avg:67.88ms
step:13/1285 train_time:846ms step_avg:65.05ms
step:14/1285 train_time:881ms step_avg:62.93ms
step:15/1285 train_time:915ms step_avg:60.98ms
step:16/1285 train_time:951ms step_avg:59.46ms
step:17/1285 train_time:983ms step_avg:57.83ms
step:18/1285 train_time:1019ms step_avg:56.62ms
step:19/1285 train_time:1053ms step_avg:55.45ms
step:20/1285 train_time:1089ms step_avg:54.47ms
step:21/1285 train_time:1121ms step_avg:53.36ms
step:22/1285 train_time:1155ms step_avg:52.49ms
step:23/1285 train_time:1187ms step_avg:51.59ms
step:24/1285 train_time:1220ms step_avg:50.82ms
step:25/1285 train_time:1251ms step_avg:50.02ms
step:26/1285 train_time:1286ms step_avg:49.46ms
step:27/1285 train_time:1317ms step_avg:48.78ms
step:28/1285 train_time:1355ms step_avg:48.40ms
step:29/1285 train_time:1388ms step_avg:47.87ms
step:30/1285 train_time:1427ms step_avg:47.56ms
step:31/1285 train_time:1459ms step_avg:47.08ms
step:32/1285 train_time:1499ms step_avg:46.83ms
step:33/1285 train_time:1527ms step_avg:46.29ms
step:34/1285 train_time:1566ms step_avg:46.06ms
step:35/1285 train_time:1599ms step_avg:45.68ms
step:36/1285 train_time:1636ms step_avg:45.44ms
step:37/1285 train_time:1666ms step_avg:45.04ms
step:38/1285 train_time:1703ms step_avg:44.82ms
step:39/1285 train_time:1737ms step_avg:44.55ms
step:40/1285 train_time:1776ms step_avg:44.39ms
step:41/1285 train_time:1812ms step_avg:44.19ms
step:42/1285 train_time:1851ms step_avg:44.07ms
step:43/1285 train_time:1882ms step_avg:43.76ms
step:44/1285 train_time:1918ms step_avg:43.59ms
step:45/1285 train_time:1952ms step_avg:43.37ms
step:46/1285 train_time:1989ms step_avg:43.24ms
step:47/1285 train_time:2022ms step_avg:43.03ms
step:48/1285 train_time:2060ms step_avg:42.91ms
step:49/1285 train_time:2095ms step_avg:42.75ms
step:50/1285 train_time:2133ms step_avg:42.66ms
step:51/1285 train_time:2165ms step_avg:42.46ms
step:52/1285 train_time:2203ms step_avg:42.37ms
step:53/1285 train_time:2237ms step_avg:42.21ms
step:54/1285 train_time:2273ms step_avg:42.10ms
step:55/1285 train_time:2304ms step_avg:41.88ms
step:56/1285 train_time:2340ms step_avg:41.79ms
step:57/1285 train_time:2373ms step_avg:41.63ms
