HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to [Gloo] Rank 7 peer ranks. 1Expected number of connected peer ranks is :  is connected to 77
 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 73
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/ed305911-0b97-4495-bffd-8ed4494ffa84.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82992268 train_time:59ms step_avg:59.23ms
step:1/1285 train_time:294ms step_avg:294.43ms
step:2/1285 train_time:354ms step_avg:177.14ms
step:3/1285 train_time:392ms step_avg:130.82ms
step:4/1285 train_time:513ms step_avg:128.20ms
step:5/1285 train_time:555ms step_avg:111.03ms
step:6/1285 train_time:600ms step_avg:99.99ms
step:7/1285 train_time:640ms step_avg:91.40ms
step:8/1285 train_time:679ms step_avg:84.87ms
step:9/1285 train_time:713ms step_avg:79.24ms
step:10/1285 train_time:753ms step_avg:75.32ms
step:11/1285 train_time:788ms step_avg:71.60ms
step:12/1285 train_time:825ms step_avg:68.72ms
step:13/1285 train_time:858ms step_avg:65.98ms
step:14/1285 train_time:897ms step_avg:64.05ms
step:15/1285 train_time:930ms step_avg:62.01ms
step:16/1285 train_time:968ms step_avg:60.52ms
step:17/1285 train_time:1001ms step_avg:58.88ms
step:18/1285 train_time:1037ms step_avg:57.63ms
step:19/1285 train_time:1068ms step_avg:56.20ms
step:20/1285 train_time:1106ms step_avg:55.32ms
step:21/1285 train_time:1137ms step_avg:54.15ms
step:22/1285 train_time:1175ms step_avg:53.43ms
step:23/1285 train_time:1209ms step_avg:52.57ms
step:24/1285 train_time:1243ms step_avg:51.79ms
step:25/1285 train_time:1274ms step_avg:50.98ms
step:26/1285 train_time:1313ms step_avg:50.49ms
step:27/1285 train_time:1348ms step_avg:49.94ms
step:28/1285 train_time:1384ms step_avg:49.43ms
step:29/1285 train_time:1418ms step_avg:48.90ms
step:30/1285 train_time:1454ms step_avg:48.46ms
step:31/1285 train_time:1485ms step_avg:47.90ms
step:32/1285 train_time:1520ms step_avg:47.50ms
step:33/1285 train_time:1553ms step_avg:47.05ms
step:34/1285 train_time:1589ms step_avg:46.73ms
step:35/1285 train_time:1620ms step_avg:46.30ms
step:36/1285 train_time:1657ms step_avg:46.03ms
step:37/1285 train_time:1688ms step_avg:45.62ms
step:38/1285 train_time:1725ms step_avg:45.39ms
step:39/1285 train_time:1758ms step_avg:45.08ms
step:40/1285 train_time:1795ms step_avg:44.87ms
step:41/1285 train_time:1826ms step_avg:44.53ms
step:42/1285 train_time:1860ms step_avg:44.30ms
step:43/1285 train_time:1894ms step_avg:44.05ms
step:44/1285 train_time:1930ms step_avg:43.87ms
step:45/1285 train_time:1961ms step_avg:43.57ms
step:46/1285 train_time:1997ms step_avg:43.42ms
step:47/1285 train_time:2029ms step_avg:43.17ms
step:48/1285 train_time:2062ms step_avg:42.95ms
step:49/1285 train_time:2091ms step_avg:42.68ms
step:50/1285 train_time:2128ms step_avg:42.56ms
step:51/1285 train_time:2160ms step_avg:42.35ms
step:52/1285 train_time:2202ms step_avg:42.34ms
step:53/1285 train_time:2233ms step_avg:42.12ms
step:54/1285 train_time:2270ms step_avg:42.03ms
step:55/1285 train_time:2300ms step_avg:41.82ms
step:56/1285 train_time:2336ms step_avg:41.72ms
step:57/1285 train_time:2367ms step_avg:41.53ms
