HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7[Gloo] Rank 5 is connected to  peer ranks. Expected number of connected peer ranks is : 77 peer ranks. Expected number of connected peer ranks is : 
7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/3d7a124d-76e8-4f18-86d0-50f2014655fc.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83146477 train_time:52ms step_avg:52.15ms
step:1/1285 train_time:265ms step_avg:265.02ms
step:2/1285 train_time:338ms step_avg:168.94ms
step:3/1285 train_time:378ms step_avg:125.96ms
step:4/1285 train_time:422ms step_avg:105.54ms
step:5/1285 train_time:461ms step_avg:92.13ms
step:6/1285 train_time:504ms step_avg:84.01ms
step:7/1285 train_time:542ms step_avg:77.46ms
step:8/1285 train_time:583ms step_avg:72.82ms
step:9/1285 train_time:617ms step_avg:68.58ms
step:10/1285 train_time:657ms step_avg:65.66ms
step:11/1285 train_time:691ms step_avg:62.86ms
step:12/1285 train_time:727ms step_avg:60.57ms
step:13/1285 train_time:761ms step_avg:58.51ms
step:14/1285 train_time:797ms step_avg:56.90ms
step:15/1285 train_time:828ms step_avg:55.21ms
step:16/1285 train_time:866ms step_avg:54.11ms
step:17/1285 train_time:900ms step_avg:52.95ms
step:18/1285 train_time:937ms step_avg:52.08ms
step:19/1285 train_time:972ms step_avg:51.15ms
step:20/1285 train_time:1010ms step_avg:50.49ms
step:21/1285 train_time:1047ms step_avg:49.85ms
step:22/1285 train_time:1084ms step_avg:49.28ms
step:23/1285 train_time:1117ms step_avg:48.58ms
step:24/1285 train_time:1153ms step_avg:48.04ms
step:25/1285 train_time:1186ms step_avg:47.43ms
step:26/1285 train_time:1223ms step_avg:47.04ms
step:27/1285 train_time:1257ms step_avg:46.54ms
step:28/1285 train_time:1295ms step_avg:46.24ms
step:29/1285 train_time:1327ms step_avg:45.75ms
step:30/1285 train_time:1364ms step_avg:45.46ms
step:31/1285 train_time:1396ms step_avg:45.04ms
step:32/1285 train_time:1435ms step_avg:44.86ms
step:33/1285 train_time:1469ms step_avg:44.52ms
step:34/1285 train_time:1507ms step_avg:44.32ms
step:35/1285 train_time:1540ms step_avg:43.99ms
step:36/1285 train_time:1574ms step_avg:43.73ms
step:37/1285 train_time:1608ms step_avg:43.47ms
step:38/1285 train_time:1645ms step_avg:43.28ms
step:39/1285 train_time:1678ms step_avg:43.03ms
step:40/1285 train_time:1716ms step_avg:42.89ms
step:41/1285 train_time:1748ms step_avg:42.64ms
step:42/1285 train_time:1786ms step_avg:42.52ms
step:43/1285 train_time:1819ms step_avg:42.29ms
step:44/1285 train_time:1853ms step_avg:42.12ms
step:45/1285 train_time:1886ms step_avg:41.92ms
step:46/1285 train_time:1924ms step_avg:41.83ms
step:47/1285 train_time:1957ms step_avg:41.64ms
step:48/1285 train_time:1995ms step_avg:41.56ms
step:49/1285 train_time:2028ms step_avg:41.39ms
step:50/1285 train_time:2067ms step_avg:41.34ms
step:51/1285 train_time:2101ms step_avg:41.19ms
step:52/1285 train_time:2136ms step_avg:41.09ms
step:53/1285 train_time:2169ms step_avg:40.93ms
step:54/1285 train_time:2205ms step_avg:40.83ms
step:55/1285 train_time:2238ms step_avg:40.69ms
step:56/1285 train_time:2277ms step_avg:40.67ms
step:57/1285 train_time:2310ms step_avg:40.53ms
step:58/1285 train_time:2349ms step_avg:40.49ms
step:59/1285 train_time:2381ms step_avg:40.35ms
step:60/1285 train_time:2415ms step_avg:40.25ms
step:61/1285 train_time:2449ms step_avg:40.14ms
step:62/1285 train_time:2482ms step_avg:40.03ms
step:63/1285 train_time:2515ms step_avg:39.91ms
step:64/1285 train_time:2553ms step_avg:39.89ms
step:65/1285 train_time:2586ms step_avg:39.78ms
step:66/1285 train_time:2621ms step_avg:39.72ms
step:67/1285 train_time:2656ms step_avg:39.64ms
step:68/1285 train_time:2694ms step_avg:39.62ms
step:69/1285 train_time:2728ms step_avg:39.54ms
step:70/1285 train_time:2768ms step_avg:39.54ms
step:71/1285 train_time:2800ms step_avg:39.43ms
step:72/1285 train_time:2835ms step_avg:39.37ms
step:73/1285 train_time:2867ms step_avg:39.28ms
step:74/1285 train_time:2904ms step_avg:39.24ms
step:75/1285 train_time:2936ms step_avg:39.15ms
step:76/1285 train_time:2974ms step_avg:39.13ms
step:77/1285 train_time:3007ms step_avg:39.05ms
step:78/1285 train_time:3049ms step_avg:39.09ms
step:79/1285 train_time:3082ms step_avg:39.01ms
step:80/1285 train_time:3119ms step_avg:38.98ms
step:81/1285 train_time:3155ms step_avg:38.95ms
step:82/1285 train_time:3192ms step_avg:38.93ms
step:83/1285 train_time:3225ms step_avg:38.86ms
step:84/1285 train_time:3261ms step_avg:38.83ms
step:85/1285 train_time:3294ms step_avg:38.76ms
step:86/1285 train_time:3331ms step_avg:38.73ms
step:87/1285 train_time:3362ms step_avg:38.64ms
step:88/1285 train_time:3398ms step_avg:38.61ms
step:89/1285 train_time:3430ms step_avg:38.54ms
step:90/1285 train_time:3466ms step_avg:38.51ms
step:91/1285 train_time:3497ms step_avg:38.42ms
