HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 7
2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7[Gloo] Rank 7 peer ranks. Expected number of connected peer ranks is :  is connected to 77
 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/0e0006a2-2eba-43d5-ac7e-ea11c72f17fb.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.83400440 train_time:60ms step_avg:60.48ms
step:1/1285 train_time:264ms step_avg:263.51ms
step:2/1285 train_time:310ms step_avg:155.13ms
step:3/1285 train_time:386ms step_avg:128.81ms
step:4/1285 train_time:429ms step_avg:107.15ms
step:5/1285 train_time:466ms step_avg:93.11ms
step:6/1285 train_time:508ms step_avg:84.64ms
step:7/1285 train_time:544ms step_avg:77.66ms
step:8/1285 train_time:585ms step_avg:73.08ms
step:9/1285 train_time:618ms step_avg:68.66ms
step:10/1285 train_time:656ms step_avg:65.63ms
step:11/1285 train_time:690ms step_avg:62.72ms
step:12/1285 train_time:728ms step_avg:60.67ms
step:13/1285 train_time:760ms step_avg:58.43ms
step:14/1285 train_time:796ms step_avg:56.86ms
step:15/1285 train_time:828ms step_avg:55.20ms
step:16/1285 train_time:865ms step_avg:54.07ms
step:17/1285 train_time:897ms step_avg:52.74ms
step:18/1285 train_time:934ms step_avg:51.91ms
step:19/1285 train_time:969ms step_avg:50.98ms
step:20/1285 train_time:1003ms step_avg:50.16ms
step:21/1285 train_time:1037ms step_avg:49.39ms
step:22/1285 train_time:1073ms step_avg:48.77ms
step:23/1285 train_time:1105ms step_avg:48.04ms
step:24/1285 train_time:1141ms step_avg:47.53ms
step:25/1285 train_time:1171ms step_avg:46.84ms
step:26/1285 train_time:1209ms step_avg:46.50ms
step:27/1285 train_time:1243ms step_avg:46.04ms
step:28/1285 train_time:1283ms step_avg:45.82ms
step:29/1285 train_time:1316ms step_avg:45.36ms
step:30/1285 train_time:1352ms step_avg:45.07ms
step:31/1285 train_time:1385ms step_avg:44.69ms
step:32/1285 train_time:1423ms step_avg:44.46ms
step:33/1285 train_time:1454ms step_avg:44.06ms
step:34/1285 train_time:1491ms step_avg:43.85ms
step:35/1285 train_time:1522ms step_avg:43.49ms
step:36/1285 train_time:1560ms step_avg:43.33ms
step:37/1285 train_time:1594ms step_avg:43.08ms
step:38/1285 train_time:1629ms step_avg:42.86ms
step:39/1285 train_time:1660ms step_avg:42.56ms
step:40/1285 train_time:1696ms step_avg:42.39ms
step:41/1285 train_time:1726ms step_avg:42.09ms
step:42/1285 train_time:1759ms step_avg:41.88ms
step:43/1285 train_time:1791ms step_avg:41.64ms
step:44/1285 train_time:1830ms step_avg:41.59ms
step:45/1285 train_time:1862ms step_avg:41.37ms
step:46/1285 train_time:1899ms step_avg:41.29ms
step:47/1285 train_time:1933ms step_avg:41.12ms
step:48/1285 train_time:1970ms step_avg:41.04ms
step:49/1285 train_time:2003ms step_avg:40.87ms
step:50/1285 train_time:2038ms step_avg:40.75ms
step:51/1285 train_time:2070ms step_avg:40.59ms
step:52/1285 train_time:2104ms step_avg:40.46ms
step:53/1285 train_time:2137ms step_avg:40.32ms
step:54/1285 train_time:2171ms step_avg:40.21ms
step:55/1285 train_time:2203ms step_avg:40.05ms
step:56/1285 train_time:2239ms step_avg:39.98ms
step:57/1285 train_time:2270ms step_avg:39.82ms
step:58/1285 train_time:2305ms step_avg:39.74ms
step:59/1285 train_time:2337ms step_avg:39.60ms
step:60/1285 train_time:2373ms step_avg:39.55ms
step:61/1285 train_time:2406ms step_avg:39.44ms
step:62/1285 train_time:2443ms step_avg:39.40ms
step:63/1285 train_time:2474ms step_avg:39.27ms
step:64/1285 train_time:2511ms step_avg:39.23ms
step:65/1285 train_time:2543ms step_avg:39.12ms
step:66/1285 train_time:2580ms step_avg:39.09ms
step:67/1285 train_time:2616ms step_avg:39.04ms
step:68/1285 train_time:2651ms step_avg:38.99ms
step:69/1285 train_time:2683ms step_avg:38.88ms
step:70/1285 train_time:2718ms step_avg:38.83ms
step:71/1285 train_time:2749ms step_avg:38.72ms
step:72/1285 train_time:2782ms step_avg:38.64ms
step:73/1285 train_time:2813ms step_avg:38.54ms
step:74/1285 train_time:2846ms step_avg:38.45ms
step:75/1285 train_time:2878ms step_avg:38.38ms
step:76/1285 train_time:2915ms step_avg:38.35ms
step:77/1285 train_time:2950ms step_avg:38.32ms
step:78/1285 train_time:2987ms step_avg:38.30ms
step:79/1285 train_time:3019ms step_avg:38.22ms
step:80/1285 train_time:3057ms step_avg:38.21ms
step:81/1285 train_time:3089ms step_avg:38.13ms
step:82/1285 train_time:3124ms step_avg:38.10ms
step:83/1285 train_time:3155ms step_avg:38.02ms
step:84/1285 train_time:3192ms step_avg:37.99ms
step:85/1285 train_time:3226ms step_avg:37.96ms
step:86/1285 train_time:3267ms step_avg:37.99ms
step:87/1285 train_time:3300ms step_avg:37.93ms
step:88/1285 train_time:3334ms step_avg:37.89ms
step:89/1285 train_time:3364ms step_avg:37.80ms
step:90/1285 train_time:3400ms step_avg:37.78ms
step:91/1285 train_time:3433ms step_avg:37.73ms
step:92/1285 train_time:3469ms step_avg:37.71ms
step:93/1285 train_time:3501ms step_avg:37.65ms
step:94/1285 train_time:3538ms step_avg:37.63ms
step:95/1285 train_time:3568ms step_avg:37.56ms
step:96/1285 train_time:3602ms step_avg:37.52ms
step:97/1285 train_time:3636ms step_avg:37.49ms
step:98/1285 train_time:3670ms step_avg:37.45ms
step:99/1285 train_time:3703ms step_avg:37.40ms
step:100/1285 train_time:3736ms step_avg:37.36ms
step:101/1285 train_time:3767ms step_avg:37.29ms
step:102/1285 train_time:3805ms step_avg:37.30ms
step:103/1285 train_time:3835ms step_avg:37.24ms
step:104/1285 train_time:3869ms step_avg:37.21ms
step:105/1285 train_time:3900ms step_avg:37.14ms
step:106/1285 train_time:3933ms step_avg:37.10ms
step:107/1285 train_time:3964ms step_avg:37.04ms
step:108/1285 train_time:3995ms step_avg:36.99ms
step:109/1285 train_time:4025ms step_avg:36.93ms
step:110/1285 train_time:4060ms step_avg:36.91ms
step:111/1285 train_time:4089ms step_avg:36.84ms
step:112/1285 train_time:4122ms step_avg:36.80ms
step:113/1285 train_time:4151ms step_avg:36.74ms
step:114/1285 train_time:4187ms step_avg:36.73ms
step:115/1285 train_time:4216ms step_avg:36.66ms
step:116/1285 train_time:4250ms step_avg:36.63ms
step:117/1285 train_time:4280ms step_avg:36.58ms
step:118/1285 train_time:4315ms step_avg:36.57ms
step:119/1285 train_time:4349ms step_avg:36.54ms
step:120/1285 train_time:4385ms step_avg:36.55ms
step:121/1285 train_time:4418ms step_avg:36.51ms
step:122/1285 train_time:4454ms step_avg:36.51ms
step:123/1285 train_time:4486ms step_avg:36.47ms
step:124/1285 train_time:4522ms step_avg:36.47ms
step:125/1285 train_time:4555ms step_avg:36.44ms
step:126/1285 train_time:4590ms step_avg:36.43ms
step:127/1285 train_time:4625ms step_avg:36.41ms
step:128/1285 train_time:4661ms step_avg:36.42ms
step:129/1285 train_time:4694ms step_avg:36.39ms
step:130/1285 train_time:4731ms step_avg:36.39ms
step:131/1285 train_time:4765ms step_avg:36.37ms
step:132/1285 train_time:4803ms step_avg:36.38ms
step:133/1285 train_time:4835ms step_avg:36.35ms
step:134/1285 train_time:4872ms step_avg:36.36ms
step:135/1285 train_time:4904ms step_avg:36.32ms
step:136/1285 train_time:4941ms step_avg:36.33ms
step:137/1285 train_time:4972ms step_avg:36.29ms
step:138/1285 train_time:5007ms step_avg:36.28ms
