HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 35 is connected to  is connected to 7 peer ranks. 7 peer ranks. Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/584701a1-bb90-431f-b4c1-26cfdc01836e.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82934761 train_time:65ms step_avg:65.20ms
step:1/1285 train_time:243ms step_avg:242.55ms
step:2/1285 train_time:343ms step_avg:171.41ms
step:3/1285 train_time:382ms step_avg:127.33ms
step:4/1285 train_time:445ms step_avg:111.14ms
step:5/1285 train_time:482ms step_avg:96.48ms
step:6/1285 train_time:525ms step_avg:87.43ms
step:7/1285 train_time:561ms step_avg:80.12ms
step:8/1285 train_time:600ms step_avg:74.99ms
step:9/1285 train_time:633ms step_avg:70.38ms
step:10/1285 train_time:671ms step_avg:67.11ms
step:11/1285 train_time:704ms step_avg:64.04ms
step:12/1285 train_time:745ms step_avg:62.11ms
step:13/1285 train_time:776ms step_avg:59.69ms
step:14/1285 train_time:814ms step_avg:58.14ms
step:15/1285 train_time:845ms step_avg:56.30ms
step:16/1285 train_time:880ms step_avg:55.03ms
step:17/1285 train_time:910ms step_avg:53.51ms
step:18/1285 train_time:948ms step_avg:52.68ms
step:19/1285 train_time:979ms step_avg:51.53ms
step:20/1285 train_time:1015ms step_avg:50.76ms
step:21/1285 train_time:1047ms step_avg:49.85ms
step:22/1285 train_time:1084ms step_avg:49.29ms
step:23/1285 train_time:1116ms step_avg:48.51ms
step:24/1285 train_time:1151ms step_avg:47.96ms
step:25/1285 train_time:1182ms step_avg:47.29ms
step:26/1285 train_time:1218ms step_avg:46.85ms
step:27/1285 train_time:1250ms step_avg:46.29ms
step:28/1285 train_time:1287ms step_avg:45.98ms
step:29/1285 train_time:1323ms step_avg:45.60ms
step:30/1285 train_time:1360ms step_avg:45.34ms
step:31/1285 train_time:1391ms step_avg:44.88ms
step:32/1285 train_time:1426ms step_avg:44.57ms
step:33/1285 train_time:1456ms step_avg:44.14ms
step:34/1285 train_time:1492ms step_avg:43.87ms
step:35/1285 train_time:1522ms step_avg:43.47ms
step:36/1285 train_time:1559ms step_avg:43.30ms
step:37/1285 train_time:1589ms step_avg:42.95ms
step:38/1285 train_time:1626ms step_avg:42.78ms
step:39/1285 train_time:1657ms step_avg:42.49ms
step:40/1285 train_time:1696ms step_avg:42.39ms
step:41/1285 train_time:1729ms step_avg:42.18ms
step:42/1285 train_time:1772ms step_avg:42.18ms
step:43/1285 train_time:1806ms step_avg:42.01ms
step:44/1285 train_time:1846ms step_avg:41.96ms
step:45/1285 train_time:1877ms step_avg:41.72ms
step:46/1285 train_time:1914ms step_avg:41.62ms
step:47/1285 train_time:1948ms step_avg:41.44ms
step:48/1285 train_time:1986ms step_avg:41.37ms
step:49/1285 train_time:2017ms step_avg:41.16ms
step:50/1285 train_time:2053ms step_avg:41.05ms
step:51/1285 train_time:2084ms step_avg:40.86ms
step:52/1285 train_time:2121ms step_avg:40.79ms
step:53/1285 train_time:2152ms step_avg:40.60ms
step:54/1285 train_time:2186ms step_avg:40.48ms
step:55/1285 train_time:2217ms step_avg:40.30ms
step:56/1285 train_time:2253ms step_avg:40.23ms
step:57/1285 train_time:2285ms step_avg:40.09ms
