HARNESS_TRAINING_ENV={"OMP_NUM_THREADS": "1", "MKL_NUM_THREADS": "1", "torch_num_threads": 1, "torch_num_interop_threads": 47}
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5[Gloo] Rank  is connected to 77 is connected to  peer ranks. 7Expected number of connected peer ranks is : 7 peer ranks. 
Expected number of connected peer ranks is : 7
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
/workspace/train_gpt.py:1069: UserWarning: Skipping publisher trust check for 'kernels-community/flash-attn3' because Hugging Face Hub is in offline mode.
  flash_attn_interface = get_kernel('kernels-community/flash-attn3', version=1).flash_attn_interface
logs/932ffe0b-3665-4a36-8015-79e8c47200cd.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 421, 422, 423, 424, 845, 846, 847, 848, 1268, 1269, 1270, 1271] for warmup
Resetting Model
step:0/1285 val_loss:10.82656479 train_time:69ms step_avg:69.42ms
step:1/1285 train_time:295ms step_avg:294.97ms
step:2/1285 train_time:382ms step_avg:191.20ms
step:3/1285 train_time:423ms step_avg:140.87ms
step:4/1285 train_time:465ms step_avg:116.32ms
step:5/1285 train_time:504ms step_avg:100.70ms
step:6/1285 train_time:543ms step_avg:90.57ms
step:7/1285 train_time:579ms step_avg:82.78ms
step:8/1285 train_time:621ms step_avg:77.59ms
step:9/1285 train_time:657ms step_avg:73.05ms
step:10/1285 train_time:701ms step_avg:70.08ms
step:11/1285 train_time:734ms step_avg:66.74ms
step:12/1285 train_time:769ms step_avg:64.11ms
step:13/1285 train_time:803ms step_avg:61.80ms
step:14/1285 train_time:839ms step_avg:59.93ms
step:15/1285 train_time:872ms step_avg:58.13ms
step:16/1285 train_time:911ms step_avg:56.93ms
step:17/1285 train_time:944ms step_avg:55.53ms
step:18/1285 train_time:982ms step_avg:54.56ms
step:19/1285 train_time:1014ms step_avg:53.37ms
step:20/1285 train_time:1055ms step_avg:52.74ms
step:21/1285 train_time:1088ms step_avg:51.81ms
step:22/1285 train_time:1123ms step_avg:51.03ms
step:23/1285 train_time:1154ms step_avg:50.15ms
step:24/1285 train_time:1190ms step_avg:49.59ms
step:25/1285 train_time:1223ms step_avg:48.94ms
step:26/1285 train_time:1260ms step_avg:48.47ms
step:27/1285 train_time:1292ms step_avg:47.85ms
step:28/1285 train_time:1328ms step_avg:47.41ms
step:29/1285 train_time:1358ms step_avg:46.83ms
step:30/1285 train_time:1394ms step_avg:46.47ms
step:31/1285 train_time:1426ms step_avg:46.00ms
step:32/1285 train_time:1461ms step_avg:45.67ms
step:33/1285 train_time:1495ms step_avg:45.30ms
step:34/1285 train_time:1529ms step_avg:44.96ms
step:35/1285 train_time:1560ms step_avg:44.58ms
step:36/1285 train_time:1596ms step_avg:44.34ms
step:37/1285 train_time:1627ms step_avg:43.96ms
step:38/1285 train_time:1663ms step_avg:43.75ms
step:39/1285 train_time:1695ms step_avg:43.46ms
step:40/1285 train_time:1730ms step_avg:43.25ms
step:41/1285 train_time:1763ms step_avg:43.00ms
step:42/1285 train_time:1800ms step_avg:42.85ms
step:43/1285 train_time:1831ms step_avg:42.58ms
step:44/1285 train_time:1866ms step_avg:42.42ms
step:45/1285 train_time:1900ms step_avg:42.23ms
step:46/1285 train_time:1936ms step_avg:42.08ms
step:47/1285 train_time:1968ms step_avg:41.87ms
step:48/1285 train_time:2004ms step_avg:41.75ms
step:49/1285 train_time:2036ms step_avg:41.55ms
step:50/1285 train_time:2070ms step_avg:41.39ms
step:51/1285 train_time:2101ms step_avg:41.19ms
step:52/1285 train_time:2136ms step_avg:41.07ms
step:53/1285 train_time:2167ms step_avg:40.88ms
step:54/1285 train_time:2200ms step_avg:40.73ms
step:55/1285 train_time:2229ms step_avg:40.53ms
step:56/1285 train_time:2264ms step_avg:40.43ms
step:57/1285 train_time:2296ms step_avg:40.28ms
step:58/1285 train_time:2331ms step_avg:40.18ms
step:59/1285 train_time:2361ms step_avg:40.03ms
step:60/1285 train_time:2396ms step_avg:39.93ms
